Frequencies[cm^-1]   RamanActivity[A^4/amu]
13.8154  2.2565
21.1088  2.6093
49.8746  0.6121
56.5785  0.6128
81.7342  10.9077
88.9782  7.8088
121.7123  0.2818
145.0292  2.8854
169.5448  1.4502
198.7934  1.2433
206.4357  10.9073
224.3587  0.3445
247.349  0.9754
261.0503  14.6193
298.4828  1.0507
312.3877  19.4361
331.1466  0.2413
364.939  0.837
395.4199  1.2251
410.7701  1.4285
412.6758  0.4197
421.165  0.6496
444.5797  0.0906
459.8269  0.0975
473.3224  8.8329
482.4567  6.6879
511.3914  2.8598
513.8696  0.922
525.7638  4.671
534.2867  0.2739
543.8854  0.751
553.7531  2.8008
561.0433  6.3555
602.5641  0.357
616.9447  3.5562
620.0936  6.2768
633.0634  4.5724
654.889  0.8836
692.7756  0.7245
701.738  13.0407
707.4252  23.7133
708.6058  0.4294
726.6502  0.0591
728.0685  55.5342
732.2279  1.0115
741.1175  0.1454
749.898  0.0281
757.7625  3.6402
762.1027  0.8275
777.8147  0.1562
794.9025  104.5622
795.2612  0.3317
822.7888  0.3433
832.1477  1.4166
850.3784  0.0398
853.0704  0.6555
855.344  0.3717
862.9111  6.5423
865.9473  0.9222
875.5536  0.4978
882.5243  2.5858
905.9074  5.8882
913.2313  0.1285
918.7768  0.4686
928.1717  0.1365
936.8831  0.811
944.5801  0.095
951.3691  0.1304
952.7275  0.0621
955.2769  13.1786
1011.1344  16.4898
1018.1059  63.7776
1027.7268  7.8264
1040.3116  54.9325
1054.9647  74.7476
1100.0291  5.6336
1114.6264  5.5666
1124.0309  4.8191
1139.227  3.5515
1144.6918  11.4308
1151.4263  41.1706
1157.4866  34.3392
1188.1116  97.3398
1194.4191  52.9794
1205.3593  57.5901
1209.5683  46.9166
1211.6847  150.7036
1226.8433  17.5807
1240.6195  38.3616
1260.3611  64.6745
1273.5031  187.5853
1283.1662  1191.9172
1293.1222  154.2101
1302.6494  209.1468
1326.5476  554.9003
1342.8608  552.8995
1352.7995  431.5071
1359.7487  648.3607
1371.2512  77.2883
1383.6772  745.2162
1401.2103  294.4187
1416.559  425.7238
1424.2753  1283.1867
1433.5152  996.0747
1434.9697  398.0803
1443.627  755.458
1453.7773  48.0077
1464.9466  111.3539
1492.5888  88.8542
1497.3844  8.8718
1516.3546  345.7961
1555.3429  9.7746
1557.6717  39.6247
1566.4237  32.9183
1587.2594  850.0889
1593.2903  1030.9672
1602.4117  238.4267
1608.6768  304.7105
1609.8515  647.4019
1622.2464  88.5258
3087.3014  36.8051
3088.5978  1.3283
3090.9791  81.5944
3092.7065  101.0181
3099.7505  77.7563
3101.2316  133.6952
3105.7627  281.3438
3107.3954  171.9745
3110.1433  145.1384
3111.0337  87.5259
3113.6836  6.1201
3114.7046  242.9929
3117.9203  101.477
3120.6898  560.3995
3124.0873  345.8748
3132.3836  75.218
3135.754  333.8109
3143.9867  55.5654
