Frequencies[cm^-1]   RamanActivity[A^4/amu]
67.5901  0.8452
89.1424  0.3022
160.6486  5.3119
164.3372  1.9416
191.5343  0.0244
263.4786  1.2684
289.9788  0.084
297.5057  6.6332
365.9256  19.2555
377.6846  0.0843
421.7634  0.2029
446.405  5.0463
460.6793  0.0724
491.1727  5.5571
511.886  0.9514
533.6893  0.1387
583.227  6.0509
599.7963  5.1861
616.9832  0.925
626.5443  0.6022
686.2374  3.1334
702.0943  43.8928
727.2822  0.4586
745.3972  1.1411
764.6591  1.5576
768.3754  51.6958
792.4746  0.638
800.3719  1.6647
824.448  0.2283
825.1049  6.9048
858.2619  0.1004
878.8093  0.8511
890.4167  0.3606
897.6426  1.1032
913.5047  1.874
928.7944  0.1634
932.3072  0.1646
940.3873  13.5138
952.1829  0.2547
952.4283  3.8812
1011.326  52.2836
1030.8361  11.2686
1087.9085  31.5555
1094.4206  5.6181
1121.4104  1.7457
1141.4269  4.4975
1148.7921  1.9362
1162.2292  8.2466
1189.6862  6.0081
1205.3862  70.1814
1227.37  19.3686
1255.4025  4.7774
1262.7644  13.4369
1307.8931  17.5654
1333.5608  154.3055
1361.4606  16.8672
1362.4164  53.3732
1372.6912  17.9992
1390.0772  92.398
1403.9958  965.3604
1432.8949  22.4778
1440.3648  16.1879
1478.6375  201.1942
1523.3131  163.1681
1544.145  28.4336
1561.3822  434.1195
1578.7061  77.2231
1609.7546  72.4697
1618.6557  25.4268
2950.886  155.9982
2973.9732  83.1732
3082.0467  47.9633
3087.7437  7.7739
3089.6953  13.3129
3090.962  41.5201
3092.7287  220.1991
3106.8114  158.6449
3109.7193  247.0278
3119.8456  484.8713
3125.0312  170.0574
3151.3856  328.9499
