Frequencies[cm^-1]   RamanActivity[A^4/amu]
38.8957  0.0057
73.6518  0.152
110.2501  0.7599
112.3122  7.7647
149.3733  0.8093
201.7751  0.1157
221.0435  0.4452
233.5447  8.2358
272.3177  0.1024
285.9385  0.6049
325.2698  0.0833
385.8497  4.0599
396.1221  1.579
405.9551  1.9833
465.8929  0.0704
471.8818  25.5397
495.5717  0.3947
498.7994  7.6983
511.5353  0.0732
519.757  3.8593
545.3926  0.553
562.0512  4.3961
602.7687  4.0527
611.0417  9.3748
627.5231  0.132
657.9781  6.4221
697.9166  0.4606
722.1767  9.7141
728.4198  0.1973
737.9977  1.3459
761.5394  0.9207
761.6702  252.5879
771.6511  1.1793
772.8036  1.5041
804.8003  0.463
828.1892  0.1738
845.4866  0.432
848.4449  2.7839
856.7723  0.5534
865.445  17.8139
873.9133  1.093
902.7214  3.2127
919.7182  0.7092
922.0511  0.3218
927.1639  0.0332
936.5382  0.4313
951.393  0.1303
954.1474  0.2585
996.1941  58.2117
1022.874  48.012
1024.39  53.1994
1058.3796  33.0132
1112.6385  21.307
1119.2271  2.4264
1134.46  20.4471
1136.789  6.9493
1143.0167  9.4111
1145.9602  2.6136
1156.2841  2.1837
1191.9697  117.1316
1195.2033  129.1088
1216.4949  2.7371
1221.2694  22.1262
1248.3867  13.8038
1252.0984  29.8838
1273.5879  470.873
1325.3569  69.1754
1360.5257  115.7705
1373.2753  57.1311
1375.5073  661.6959
1384.6714  528.8668
1391.9061  77.856
1408.7261  3.6259
1428.7286  30.9305
1436.9634  27.2085
1446.1031  1204.4167
1457.5935  679.9756
1499.9319  119.424
1517.4712  318.241
1562.628  16.4916
1575.4824  75.6913
1586.6459  699.2009
1607.3151  15.4726
1613.6647  1366.1938
1626.9818  922.9674
2952.0005  209.0122
2975.7995  78.3847
3084.1609  44.0338
3087.0979  13.5588
3089.337  4.8455
3089.7038  14.0067
3091.5796  198.2547
3092.1955  107.768
3097.1426  134.8507
3106.0569  169.0783
3109.3547  146.25
3110.5151  142.8843
3119.6082  487.7472
3120.9964  537.0948
