Frequencies[cm^-1]   RamanActivity[A^4/amu]
37.5264  0.1682
47.5877  0.2202
102.9897  6.3956
116.8659  0.9123
129.4353  0.4632
190.0984  0.4295
195.9298  0.1027
206.0464  37.0015
220.9994  0.4551
285.8615  1.0481
297.0375  6.4855
320.2095  0.3597
374.7421  0.1133
387.9954  5.1362
419.9671  0.5711
440.323  0.5557
444.6333  24.1234
471.6189  12.5493
485.2817  5.1153
494.7295  0.31
504.4663  1.2217
524.5669  2.3112
543.3941  11.9606
544.4418  2.2223
569.0965  19.6651
596.4537  0.2254
615.9225  2.4709
643.7273  3.5767
657.3197  9.082
673.0588  0.4745
704.5425  25.8972
708.9411  0.2941
721.3991  15.698
730.3571  0.1713
738.6649  0.1195
756.2008  0.9303
763.7741  50.5997
769.8557  20.4758
774.8968  0.7581
796.2618  0.3253
816.2181  0.0056
824.7848  22.1996
846.4296  0.0559
854.5493  0.6838
868.2055  1.6269
870.4151  0.2108
878.0166  0.6693
886.224  1.0636
891.1994  1.2901
899.2164  3.9208
920.8361  0.1111
933.0114  0.34
939.7763  1.2537
952.5288  0.2021
975.8753  5.6944
1034.2716  1.0744
1039.0874  76.3473
1041.2585  20.1221
1070.9887  44.2523
1078.4735  155.4918
1100.2879  13.4125
1139.1492  3.8531
1151.0517  39.8522
1160.9305  54.9104
1173.5985  121.56
1189.1826  15.0145
1201.0423  47.9998
1208.8284  82.9251
1221.9703  95.509
1231.0301  198.0618
1262.1266  0.6415
1283.9762  15.822
1289.9851  712.786
1312.4387  25.2484
1331.854  894.9654
1354.4706  995.327
1369.0888  267.8505
1374.6049  533.3867
1400.5328  294.5988
1416.8829  100.7762
1427.2584  1046.3616
1436.6811  38.0817
1448.9602  622.197
1458.0371  623.4424
1468.1854  208.9657
1491.128  206.6155
1499.1148  357.2017
1550.1465  38.7714
1588.0609  81.6959
1593.8646  1109.4816
1599.1748  311.456
1602.1854  996.0768
1611.4753  155.3793
1617.9818  56.7163
3086.1639  69.3209
3087.9364  29.4319
3091.367  79.743
3093.7999  78.1996
3097.0677  24.2264
3100.5406  146.8145
3105.2428  42.0127
3106.4203  274.8299
3107.01  207.2767
3116.7279  252.9393
3118.8708  348.3174
3125.8157  386.6789
3134.7693  140.3027
3154.9322  408.1992
