Frequencies[cm^-1]   RamanActivity[A^4/amu]
-19.7279  0.4899
41.5249  0.9871
49.8648  1.3548
95.0728  0.4569
105.8787  1.0451
120.5343  0.0
129.7024  5.3691
185.3724  2.3053
231.9175  2.88
241.4122  2.2812
251.426  0.6077
254.8012  6.1784
280.0901  6.3549
304.5248  46.1922
320.698  0.4008
320.757  0.089
408.2094  0.7792
412.6754  105.7575
433.8407  0.1312
437.9675  0.1082
441.6245  0.7824
467.8399  0.0289
498.3324  0.4892
506.1694  6.0677
508.3764  6.1506
525.7919  0.0395
526.9357  13.2371
541.4574  1.0218
558.833  0.6557
591.7865  0.5135
605.198  1.3042
611.7162  0.3848
614.8224  6.7381
628.6006  0.0851
633.6458  0.2655
643.0066  36.9126
708.4795  3.2009
721.618  0.748
729.7322  0.1297
732.0144  0.1934
742.7461  0.5409
743.068  0.4993
747.4518  2.843
753.4364  0.1597
769.223  0.5848
798.3101  0.9931
819.6912  0.0909
823.3811  0.2073
831.6115  0.5036
832.827  0.3773
843.4462  228.3763
854.083  0.0241
866.7031  8.8671
867.9139  0.0
875.2997  0.1191
879.0992  7.9056
908.2625  0.3579
914.0574  0.2514
917.5186  0.0315
931.0426  0.6002
937.7  0.0756
949.3798  0.1966
949.6431  0.2231
995.952  7.7554
1033.8056  195.3803
1037.8099  2.9184
1046.6446  85.4688
1061.578  94.647
1081.7264  8.9865
1105.0859  1.1732
1117.2479  25.2204
1130.5856  16.3992
1142.7361  4.8857
1151.1725  9.5643
1153.033  70.1615
1172.8043  2.9127
1193.4199  12.585
1195.6143  35.7622
1214.4697  634.686
1219.6955  27.6317
1248.6276  8.9832
1251.7754  23.839
1272.8734  657.9323
1289.3495  165.3871
1295.1318  49.1669
1314.8547  465.6653
1340.1898  542.8383
1344.3905  224.982
1353.5322  450.863
1371.6381  394.6608
1378.6242  1644.2673
1387.7701  0.4282
1389.1303  327.2158
1406.0455  9.8572
1426.0751  18.6702
1441.474  634.4233
1443.6284  13.3726
1460.8605  160.7199
1477.9932  83.9828
1494.4674  9.6814
1519.2031  837.8928
1525.9827  17.4182
1564.5585  4793.4796
1570.7153  0.0274
1577.1142  2275.246
1587.1225  102.7241
1593.6022  0.9611
1601.5146  54.7658
1603.5757  1117.8906
1609.8922  49.2924
3090.5059  49.1907
3090.6078  9.8618
3101.623  77.0246
3102.0756  292.07
3103.2926  117.4418
3104.4508  147.2255
3104.9336  2.678
3116.2114  238.033
3116.2585  172.8891
3117.3263  178.5315
3124.3572  74.6678
3125.2613  353.0265
3128.6216  5.4338
3135.1817  511.6283
3136.2925  59.2077
3141.6827  345.1606
