Frequencies[cm^-1]   RamanActivity[A^4/amu]
47.969  0.058
51.3694  2.8735
74.2386  1.5923
97.2711  1.8816
145.707  0.2699
150.4767  7.9393
165.907  3.8749
190.0007  1.5658
202.3899  5.6797
217.3705  1.1934
267.7224  4.367
273.7708  1.1364
283.4212  1.6485
296.5175  2.1116
302.6345  40.517
330.8163  1.5925
331.7918  0.6888
340.3836  1.7303
351.9266  1.2936
367.4276  112.3539
375.4657  5.1131
414.3125  0.2726
434.1062  18.0665
446.7876  2.7901
456.1481  2.5084
468.1157  0.7364
479.0591  1.4774
504.2693  0.7325
511.8225  9.2696
516.6137  5.0082
521.2323  0.1093
528.7201  14.184
546.7515  3.9843
551.1982  5.188
556.6853  2.071
567.2336  2.1616
569.38  1.5224
571.5555  5.7613
583.1531  0.6025
607.8482  0.2539
627.8744  0.0309
631.4129  1.7354
661.4405  2.2984
669.7183  0.0941
678.7314  3.7711
679.6007  1.2454
689.9212  0.2516
717.3041  0.2636
726.1901  5.5164
746.5783  4.7976
748.7531  0.9773
749.1542  0.2389
753.5666  4.0767
758.4884  1.5489
761.9034  0.5937
781.9533  0.2504
798.0075  1.2675
807.6843  3.3067
813.8677  2.6607
832.2059  0.0959
834.3381  4.019
841.1035  12.5729
843.0308  13.8381
853.5103  0.2993
866.934  3.0917
869.1078  0.3309
877.0266  1.4981
886.2772  0.3755
901.2315  14.1695
916.2049  71.2777
918.2667  2.5326
928.131  0.1166
938.1671  0.1736
939.4369  0.0535
940.9203  0.502
945.7136  1.9287
968.6948  38.6146
980.3146  32.2209
990.3968  10.0014
1040.6404  0.9769
1061.2586  4.4456
1068.1878  45.2162
1078.9758  7.3774
1087.3769  5.2291
1115.8139  10.3258
1130.3965  7.5856
1138.6327  29.6173
1143.2253  18.4963
1158.7969  10.3267
1169.9727  17.6575
1171.0122  3.8541
1176.0658  104.6043
1202.2172  2.9321
1215.4068  9.9176
1219.401  31.8218
1229.2423  88.1568
1234.2594  15.435
1249.8424  368.1389
1267.9878  94.1956
1283.0423  57.3602
1304.2185  7.9079
1315.5607  151.0419
1323.4415  17.2448
1344.5779  1810.6904
1348.6018  75.292
1355.9071  0.5024
1358.1605  252.1956
1384.3323  29.8142
1385.0704  353.5068
1392.8549  37.4055
1400.6277  17.8718
1401.1716  4.5497
1407.0785  9.7718
1412.5483  402.117
1424.8441  67.4353
1434.9014  2.0532
1440.8608  8.036
1446.6603  4.6636
1461.5618  167.9714
1465.5146  13.2566
1476.68  9.1727
1482.3545  22.8692
1502.36  59.8112
1518.5343  1.6123
1537.4643  28.412
1561.6398  294.5677
1567.0373  4.9392
1574.0595  31.8733
1581.2475  1945.3442
1589.6237  55.1031
1593.8292  11.9481
1608.2733  591.4955
1616.6109  17.8036
1620.4258  365.3111
3087.3501  6.9199
3087.5208  153.7397
3088.9624  1.2945
3089.4704  23.4748
3089.8361  253.5107
3090.4648  179.6435
3094.95  96.1951
3095.0897  125.8371
3106.6961  198.64
3107.4516  484.9817
3107.5337  9.1273
3108.0879  1098.7867
3111.4962  281.4144
3112.4159  835.5322
3137.2431  27.3754
3150.1769  146.0311
