Frequencies[cm^-1]   RamanActivity[A^4/amu]
33.9071  0.1937
63.9963  1.391
93.8092  1.3167
101.7611  5.4689
116.635  0.6703
124.8463  5.073
152.8495  4.5483
217.7385  2.7056
231.8069  0.0882
253.0484  16.1848
264.6905  2.2385
268.4026  44.4535
294.6624  1.292
320.5238  0.7381
335.2195  21.1421
374.9286  17.5958
380.0817  0.9658
402.0108  7.069
405.96  1.5232
429.4736  18.2986
447.3632  0.1127
468.3619  0.0423
490.3009  1.4617
502.3661  0.1094
516.1959  0.0054
531.2914  2.0426
538.8815  9.4095
553.7298  1.0029
582.3576  0.7652
607.4837  8.5871
607.7092  1.522
623.7057  0.8035
629.7955  2.4942
634.9972  0.6611
637.2356  2.8549
651.9436  10.8351
674.4746  0.3976
726.3354  1.5095
733.0412  1.9673
735.8985  0.8855
744.5089  2.9365
750.5077  1.0947
759.5792  1.106
781.6907  1.9092
787.2581  0.2315
817.2382  15.4883
825.9536  1.7659
835.9233  61.6636
835.9727  1.931
842.4871  21.9227
843.5967  0.1458
867.7454  1.809
874.0072  0.6443
875.056  1.0701
878.3997  1.0733
912.054  4.0019
923.0857  1.9721
930.0111  0.3949
934.9846  2.3134
942.2097  3.399
946.4932  0.2553
950.875  0.39
978.9565  0.7987
980.0474  7.4156
1019.6325  11.5705
1033.7966  59.2381
1042.5701  1.8955
1055.4378  103.609
1091.4704  5.2874
1100.8549  0.335
1126.284  72.7204
1129.3825  0.257
1141.8154  4.0266
1150.202  1.77
1150.3726  111.3935
1169.1436  13.2195
1170.0601  58.3695
1175.113  301.2799
1188.1623  2.245
1223.2942  144.6732
1233.0748  7.9671
1249.9353  0.1881
1254.0678  170.0717
1286.8236  1.0697
1292.286  236.9868
1312.039  426.5046
1344.0493  0.6261
1345.1023  975.9506
1365.103  8.8015
1367.2387  781.8904
1367.5302  1.8953
1379.9528  8.1779
1396.0883  8.1539
1398.1584  1395.4003
1417.9322  51.6434
1418.9354  15.6407
1447.237  7.2963
1456.7719  421.7252
1466.1886  53.6436
1475.4242  129.5994
1493.6319  20.8624
1515.4567  163.6477
1549.6092  297.3269
1552.8782  5.7915
1568.3171  217.1585
1592.5078  17.7263
1593.4942  728.6693
1596.78  5.1214
1609.1696  313.0526
1623.1837  589.2831
3086.8967  22.4988
3087.4142  103.3198
3090.7276  35.2313
3092.0194  137.266
3092.1487  147.222
3100.7783  58.4318
3103.3968  48.1026
3103.4335  347.0181
3109.1138  323.4395
3115.8993  256.0951
3119.2548  8.3023
3119.4496  1220.5557
3136.9191  25.0058
3138.5275  24.3785
3151.71  5.7945
3152.7323  242.1467
