Frequencies[cm^-1]   RamanActivity[A^4/amu]
29.966  0.1072
45.5572  0.1655
97.8082  3.0437
107.4087  3.9545
124.6241  0.3041
186.05  0.0212
205.2003  0.0269
219.6219  0.0216
237.1536  49.9675
256.6674  1.5964
268.2465  13.388
303.8039  0.2249
361.9934  1.9724
391.877  4.3052
410.5405  0.2896
444.3502  2.2031
467.5927  1.6442
469.0788  6.747
499.1489  0.3295
505.6107  1.5171
508.6883  0.7633
525.1725  0.3868
534.9332  1.333
563.6429  0.0066
571.2912  19.6905
592.722  0.8791
599.9489  7.59
618.1815  1.5289
637.3006  2.9568
662.171  1.0843
687.9339  18.0642
704.4115  0.5858
706.1557  55.0776
713.216  1.1824
732.0681  0.1168
745.5499  0.7018
755.9328  1.4844
774.5139  0.1199
790.9118  1.1969
813.1098  1.7535
817.0781  0.1325
818.2766  5.125
841.6963  0.5173
851.8966  0.279
855.7516  10.0428
867.1846  13.4048
869.2913  1.2058
888.1904  4.3569
893.4417  0.9721
912.5057  2.2112
920.9745  0.0206
933.2163  1.2526
941.2783  0.5636
953.1519  0.054
982.7496  1.0561
1021.2485  1.7493
1030.7357  193.7429
1036.4134  1.1954
1054.8456  27.9563
1072.5794  86.6324
1109.9559  27.1727
1136.4388  0.4618
1149.6462  11.6173
1156.6398  10.4999
1159.687  7.6532
1198.0251  19.7964
1206.4825  13.1594
1213.0418  40.7416
1228.5326  36.5243
1242.0609  122.7921
1253.0135  3.8338
1278.854  317.8112
1301.8706  337.9585
1319.83  167.5993
1338.8777  1376.0279
1357.6463  507.6521
1372.4629  62.5012
1386.2592  1135.5897
1392.0702  92.0079
1414.6908  59.22
1420.7282  425.5233
1436.0087  362.4415
1440.0501  339.1546
1455.8897  47.5348
1476.3263  366.5966
1481.3467  10.2243
1513.2835  50.312
1539.0874  95.5572
1561.78  52.2668
1592.7032  105.028
1601.1724  393.4071
1607.0408  137.2032
1608.0706  177.5494
1612.6294  18.4778
3091.1729  20.3044
3091.6901  63.8588
3094.4495  151.0924
3099.9075  208.5959
3102.1679  199.5969
3106.2827  29.1222
3115.7498  467.6574
3117.5668  425.1938
3118.1199  6.0424
3125.9967  92.6692
3135.6945  43.7764
3136.3906  285.2784
3137.2787  123.879
3156.7964  329.6678
