Frequencies[cm^-1]   RamanActivity[A^4/amu]
32.1168  0.1771
62.6851  0.024
86.2548  4.0269
91.5159  3.0887
130.6936  0.9667
165.715  0.0504
173.2609  19.6454
209.0553  0.0263
256.6921  41.495
262.4067  1.3983
304.4128  0.9723
335.3487  5.595
358.031  0.3985
367.3379  0.3053
395.1914  0.6098
418.6682  0.2711
432.391  6.7944
446.0597  118.7113
453.5818  3.3805
468.7871  0.2036
493.3906  154.6987
543.589  0.0499
547.6921  223.9777
551.7218  0.1091
567.2428  42.8884
589.7906  214.8335
613.355  6.7648
656.7257  336.3636
666.0729  0.0777
700.3632  3.5519
710.9847  0.594
717.4994  43.2639
728.5054  0.0755
731.6073  0.415
749.8096  3.1747
760.0512  0.7274
760.5537  269.458
764.1937  1.7782
787.9364  16.3856
805.0287  8.4467
809.2849  0.0279
821.9394  1.1049
834.9689  0.9218
848.7531  6.0959
853.1221  1.1073
866.7018  2.2627
881.3806  1.8968
887.5578  7.0559
887.8444  1.3787
891.0604  5.7023
909.7731  0.8364
919.1961  44.0295
927.0051  0.0337
943.5961  0.7403
951.5247  0.2569
974.4145  112.0418
1017.6802  195.5314
1024.5187  218.2876
1087.4793  118.3978
1097.8865  99.9014
1122.1012  3976.3452
1129.4927  68.6083
1142.603  7.7227
1144.9057  5.5369
1158.2759  9.599
1173.3038  20.7509
1193.2047  373.7579
1206.1154  4.4634
1212.932  945.7649
1221.8173  42.4736
1249.0112  158.8978
1251.3067  128.8646
1256.9887  2294.5181
1292.6879  727.961
1324.7339  59.617
1347.6084  205.3884
1358.1086  2392.7639
1369.7525  2164.1505
1379.2398  134.8235
1403.7724  1487.8553
1425.7749  3763.3493
1433.2151  481.5316
1450.7967  3.7876
1456.52  89.0961
1501.45  767.0076
1522.3432  3117.4828
1535.7376  77.1422
1553.1121  9.4328
1573.0871  1032.7389
1584.0878  2805.0856
1590.6827  1803.5116
1601.9854  165.7469
1607.3574  2973.012
1616.6789  404.703
3086.7855  8.8449
3088.7056  2.8004
3091.0073  31.6754
3091.3933  7.7245
3092.0269  16.3912
3092.9244  50.883
3093.5168  320.134
3097.651  166.7355
3107.6583  284.4851
3108.8645  310.1287
3121.2396  533.4534
3121.6954  1084.9386
3133.5289  104.0583
3133.6502  229.0161
