Frequencies[cm^-1]   RamanActivity[A^4/amu]
36.0073  10.6235
38.9488  3.4129
68.9145  9.2893
75.4721  1.3868
93.9486  0.858
95.9556  3.7039
121.8472  1.8392
134.1062  0.3578
173.9762  6.6973
189.5458  2.2805
212.2311  4.4348
251.8278  3.4268
267.9203  2.4615
274.1222  1.0545
276.1803  8.7513
320.2143  10.3847
330.7085  1.4361
388.9084  5.7206
392.8152  35.4086
405.6581  0.5996
418.3229  3.5077
426.7568  0.4067
432.1611  3.9639
450.1643  1.3937
457.0079  6.3066
488.694  0.0922
490.0343  6.3769
521.1841  0.0671
527.9134  0.3487
545.555  0.0095
558.1334  0.534
581.7032  4.9824
591.1062  1.0853
608.2257  2.9747
611.4353  1.7134
614.2561  3.4051
629.4896  0.2907
636.1863  0.4419
666.0309  51.8385
688.6593  3.3151
717.0634  2.9914
718.5664  0.2359
719.4336  14.2749
738.98  1.7877
740.3177  0.5993
750.7475  5.5198
750.853  1.0052
759.5085  23.9886
768.5334  3.5453
771.2085  0.0823
802.6549  6.1955
806.3313  1.3954
823.5897  8.0788
835.7709  7.7179
845.3265  0.4661
845.7873  1.8238
859.7122  0.101
862.4212  1.0092
919.5465  11.7935
923.1928  0.1137
929.0323  1.5741
930.416  3.2155
932.3603  1.0087
950.5939  0.1146
950.9562  0.7488
955.9827  0.3602
958.6246  0.3131
988.1675  0.852
994.9276  24.9159
996.6434  20.9761
997.5422  22.4176
1044.7131  15.1537
1047.2488  7.1062
1051.6795  10.4767
1055.5375  153.5237
1070.2022  0.0138
1104.2261  9.1448
1107.6914  0.182
1109.5303  6.0791
1140.1581  9.3013
1140.925  6.3577
1151.7794  10.0999
1155.5918  0.447
1159.4374  65.1428
1159.5375  9.1495
1209.5122  144.6253
1221.4777  5.9491
1228.8272  250.7174
1244.3185  20.5118
1245.9919  177.6496
1264.8214  4.267
1269.8154  13.1494
1296.0042  10.8531
1300.8025  55.4229
1318.8374  4.7977
1333.7919  11.4215
1346.3673  1910.0164
1346.3996  98.4067
1353.8531  131.7823
1354.4487  1198.9184
1386.1561  304.1118
1401.2236  31.329
1424.5732  378.223
1426.0856  43.1629
1436.6011  26.1578
1440.9652  63.3891
1466.7107  3.1944
1466.824  29.4576
1478.3716  93.5695
1492.0755  0.0697
1529.8274  66.5672
1537.3717  158.1563
1558.9493  52.4323
1568.303  267.6291
1571.0638  74.6965
1582.5438  226.8852
1598.4508  521.7608
1598.7826  223.1294
1604.4042  50.2869
1604.5231  101.0227
3098.4936  8.1381
3098.5844  99.4143
3099.7171  174.9493
3099.8234  50.505
3110.0458  136.8161
3110.5788  195.8649
3113.6348  103.3366
3114.2346  335.1803
3117.8208  43.5644
3122.2781  117.8288
3123.4382  40.4405
3126.9892  40.1077
3129.6316  124.3554
3130.9299  690.7574
3132.4554  40.1834
3139.6121  125.3939
3139.6573  25.503
3139.9896  420.1978
