Frequencies[cm^-1]   RamanActivity[A^4/amu]
25.5801  0.0943
36.2918  0.0019
65.6904  0.4374
89.4821  1.9797
125.008  0.0026
131.9284  4.5593
165.5101  0.0712
173.4407  1.6989
190.188  0.5766
241.5774  0.039
254.323  0.0511
260.0886  3.8552
269.0325  0.4046
284.7679  29.049
308.1261  3.7261
309.4571  2.9394
362.7445  0.6802
372.6052  21.4249
379.1512  18.08
414.513  4.0977
428.6021  1.1941
430.3276  2.0026
437.5729  1.6167
461.8273  2.3685
462.3783  138.7304
480.4777  0.1172
484.4569  0.0767
497.26  2.8131
502.7566  2.8747
518.5531  60.6664
523.2006  0.3833
536.934  1.1445
551.9274  0.5427
560.1405  3.8642
560.7065  0.0082
592.0657  0.14
600.8611  0.7487
613.9244  1.047
614.8909  3.7473
647.6005  0.0084
649.6805  0.8084
656.6781  0.0343
667.6959  16.3001
681.1524  0.3926
703.544  3.1732
726.2689  0.336
727.7504  0.2229
729.7627  0.2117
744.7776  1.2494
745.814  0.4248
746.3943  0.9734
769.787  0.2189
781.3867  0.2275
793.5094  1.035
798.81  39.1402
801.1356  0.0274
808.1275  0.1344
817.8203  0.8242
824.1138  34.9817
824.4842  1.4792
846.2155  0.3321
860.806  2.3709
869.7237  1.9125
870.613  0.2196
898.7348  3.4136
905.1354  0.1664
907.332  0.0013
919.5059  0.0136
926.5044  0.0311
935.3308  0.2515
936.2032  0.0075
942.9374  0.2118
943.4717  1.6718
951.7508  11.3803
993.1215  12.0677
1027.4631  76.6591
1047.5639  11.06
1076.9052  0.0252
1084.1386  74.3941
1089.7346  0.6493
1102.0555  2.3862
1133.5673  0.8029
1140.2526  52.0919
1143.7597  2.531
1155.4095  13.5888
1158.657  79.7074
1184.0115  0.6443
1200.8039  38.0796
1212.5482  256.6736
1221.2805  43.5309
1224.2918  81.6438
1231.6642  581.3312
1236.5509  232.7869
1258.7577  47.8171
1261.0834  16.7328
1278.4599  3946.5268
1305.0575  30.5995
1307.2556  4.0367
1328.6361  2.7182
1348.9473  37.2732
1350.4742  53.138
1358.4027  410.3128
1366.6675  1655.5565
1368.2953  5.3109
1386.3654  8.8156
1390.1215  8.2853
1403.932  4.1629
1406.2165  2.0135
1419.76  104.447
1420.9934  5.8531
1423.8658  33.2019
1433.3524  3.7229
1459.0981  42.2316
1466.9271  374.3166
1490.375  74.2928
1496.7709  1.7957
1505.9287  192.5875
1509.3796  34.0212
1535.78  492.6058
1551.4536  0.9714
1574.5056  2791.7087
1575.4646  5.8665
1588.8739  2.8165
1591.3218  5427.8563
1593.8158  103.4169
1604.4416  41.0557
1614.505  33.8842
1616.0522  395.3868
3089.4215  47.6211
3089.4605  59.4384
3094.9408  112.1733
3095.0284  151.1155
3095.1445  87.3483
3096.4027  222.4638
3107.6482  280.0084
3107.7555  547.821
3110.1127  147.5503
3111.1005  958.0997
3117.3166  22.7445
3126.9405  0.6106
3127.2722  144.3101
3132.8859  61.0895
3139.392  163.2067
3139.665  366.9208
