Frequencies[cm^-1]   RamanActivity[A^4/amu]
60.6642  0.3863
73.9705  0.6808
134.247  0.2422
157.1283  3.2148
185.2209  0.0797
193.0798  9.2325
272.3328  1.6793
297.8768  0.5191
303.8742  0.8072
328.0698  65.587
359.0959  11.233
372.61  0.5742
412.8881  6.6085
443.3184  0.306
445.5412  7.4727
478.1798  0.1401
501.2405  13.4461
506.81  1.86
513.6979  0.6362
540.5361  0.5502
574.7155  0.9974
587.6307  0.8905
611.244  20.8314
619.532  3.7436
628.8977  10.3099
631.9256  2.3404
674.5009  0.1339
697.0472  0.7747
697.2632  3.7168
730.8664  0.5111
738.2007  0.2271
749.2413  3.9141
764.6525  0.9718
779.3048  4.0365
788.4376  0.2119
822.3337  0.5243
829.3658  0.761
833.5698  13.8714
843.8745  0.0381
864.537  2.4245
874.2215  6.444
879.7475  1.5554
882.0155  0.4967
916.4823  13.8449
919.0051  0.7681
925.7178  0.1675
938.526  0.6421
953.0566  0.2409
978.39  32.366
1030.8112  30.4908
1044.3205  39.6087
1067.8615  15.7606
1074.0507  55.3808
1109.0314  20.6479
1122.9377  6.6154
1142.0943  2.5209
1152.4906  3.1538
1167.5714  45.227
1185.3623  174.8305
1198.9191  100.4848
1223.1908  35.1912
1232.1723  49.9123
1257.3385  85.6394
1294.7988  29.6011
1312.1324  29.8224
1321.5501  184.1531
1345.1453  36.9723
1365.8964  775.1982
1373.451  75.9401
1394.1276  103.1604
1405.3024  20.2716
1425.6158  200.69
1434.2469  551.7301
1458.1579  44.7191
1460.9263  61.1326
1473.6769  176.0607
1488.0467  95.6318
1520.1026  166.2915
1543.7378  140.445
1570.6678  129.481
1577.669  10.4156
1601.8816  611.5994
1612.66  93.0846
1641.2836  187.2059
3084.9154  74.3703
3088.11  43.1446
3089.2777  121.4839
3092.6618  85.2022
3102.4068  161.9392
3104.9474  257.1903
3106.2054  472.2763
3110.2469  50.9878
3119.1646  318.8492
3129.0708  309.5612
3134.109  132.7399
3153.88  373.6552
