Frequencies[cm^-1]   RamanActivity[A^4/amu]
25.5917  8.6004
43.2895  2.4589
53.8834  12.9387
87.3813  2.0009
87.4375  0.4842
100.9891  10.3971
145.3471  2.014
147.8344  1.5934
187.5435  5.2327
207.5427  0.4588
216.4047  1.8801
263.0535  2.2116
271.9061  8.9791
291.5738  17.9448
299.2796  0.6518
322.8943  9.8701
341.399  2.9696
380.0029  2.7904
405.3695  14.875
409.0708  0.4498
421.3296  0.9957
439.3963  1.1788
448.2954  16.0727
466.7371  0.1448
473.3883  1.3948
496.5509  0.7562
506.4968  3.5255
519.363  7.3576
526.1878  9.6811
527.1555  0.2003
549.1206  0.6233
565.3624  0.0534
567.9791  0.1054
592.4712  7.3845
598.0361  4.2879
624.8884  0.4495
626.6529  3.5844
662.3581  0.6899
674.0859  2.1062
687.1914  44.3009
705.0609  4.3063
711.263  33.3999
727.0264  1.7992
731.812  0.0123
740.1895  0.8881
745.9791  5.9167
777.7289  0.0899
785.5666  6.1968
786.3285  0.4985
788.3457  0.2067
795.8018  0.7765
805.4933  6.5184
810.6908  32.0692
820.679  2.4892
827.0488  5.3678
829.7685  9.0393
858.2872  0.2284
861.0016  1.6667
871.7458  2.4276
907.7478  1.1513
917.5118  0.2232
927.131  3.5497
928.8209  0.5232
930.8123  6.493
936.6271  0.5283
940.9368  0.1393
942.8246  0.8576
945.2431  0.2122
965.1182  0.6466
977.9831  0.2997
988.7304  4.8702
1008.2849  17.2778
1040.1858  55.4895
1049.5339  4.0313
1078.8598  2.29
1108.6119  28.7005
1130.842  1.0101
1136.0548  4.3729
1139.877  3.5359
1142.8002  0.7926
1146.5141  2.8281
1149.1039  13.6436
1168.191  28.1368
1190.828  12.3384
1199.0195  77.2239
1204.2387  0.5974
1209.3791  131.1781
1210.0198  16.5989
1217.6377  54.066
1245.3791  2.9046
1253.1393  36.765
1267.353  350.7657
1281.218  1.3786
1322.5659  2.1712
1332.0168  3.1339
1352.3385  185.0218
1360.7365  178.0106
1369.359  1928.7407
1369.43  11.8628
1377.7668  413.8922
1384.9682  1428.6911
1399.4745  32.8461
1411.4648  47.0076
1413.1918  16.1262
1421.7967  14.233
1428.3664  71.8942
1447.0118  216.3178
1477.1693  10.1893
1493.7293  109.5619
1498.2992  43.0019
1503.7684  229.1879
1533.4491  3.2123
1542.3725  19.0432
1575.9513  91.698
1589.6505  323.5865
1592.23  83.5745
1601.8184  25.1391
1602.1159  185.7794
1617.0461  25.1116
1620.4463  375.6847
3084.3367  98.6382
3088.414  20.5653
3088.5526  17.1835
3090.0495  19.3414
3090.2153  197.92
3090.9347  179.245
3090.9664  27.2098
3103.9219  95.0758
3103.9241  137.9404
3107.0539  81.4831
3107.1616  320.3125
3108.5306  115.8902
3108.9531  984.929
3119.1974  113.2791
3119.2873  525.7276
3140.5041  94.6126
3142.6076  14.2913
3178.9518  57.5548
