Frequencies[cm^-1]   RamanActivity[A^4/amu]
42.0169  1.0774
51.1151  0.8186
101.5705  0.2152
103.6596  4.9354
115.8121  8.9899
174.6842  0.074
185.3866  1.1065
238.6392  0.8835
243.2195  6.9155
278.9012  1.4987
285.4334  49.9774
300.7292  1.0142
357.6855  7.6075
379.6556  0.832
397.4503  7.231
404.9414  0.5611
428.5619  5.3891
453.3281  0.012
502.1115  2.7221
510.3438  0.5426
519.9457  9.3389
529.3583  1.0325
542.3349  1.706
576.1824  3.5986
585.8885  0.5156
589.5284  1.0381
595.5178  6.2927
629.0987  1.978
646.7021  3.4363
678.0673  8.533
679.9963  1.285
701.2748  0.0786
730.2999  0.3625
737.215  0.4187
737.4092  5.9466
746.6903  0.1589
759.1017  45.9136
774.3951  0.8649
789.9488  1.5927
801.5014  2.8542
814.4584  0.187
833.1461  0.1221
845.4117  0.5973
848.0135  15.368
850.6146  0.8397
865.8904  0.6174
873.5215  1.3763
891.9347  2.0114
917.6971  0.3405
923.7477  0.2216
926.0168  62.0474
936.184  1.1498
950.2092  0.2256
951.9934  0.0979
965.6185  5.5868
1035.1983  41.2834
1038.3062  40.1209
1052.8184  25.4374
1056.8561  27.4691
1092.6485  74.5071
1101.2411  1.0514
1128.8645  19.8399
1145.4563  7.0321
1151.3406  29.4516
1153.2073  25.5636
1179.6342  105.4314
1209.9728  48.7539
1216.6666  10.9036
1225.6028  6.9092
1228.8983  35.8424
1256.8483  546.0944
1264.3334  4.8051
1309.4739  54.3923
1318.9742  1373.0318
1327.6635  189.9965
1352.6249  375.8181
1358.6805  112.2097
1387.7091  384.5164
1392.3173  58.958
1406.8946  51.9165
1424.7187  104.9561
1436.7706  316.8779
1447.3359  130.4043
1453.4662  44.9968
1479.0444  238.6137
1491.5225  30.9756
1525.8279  274.3062
1542.08  75.5736
1568.7861  43.9143
1596.4381  202.2588
1600.0579  222.0326
1606.2316  113.0081
1607.0664  805.2145
1616.4353  181.1796
3086.2152  106.5679
3089.9381  7.617
3091.1826  121.1803
3092.0806  158.5629
3100.1892  138.4148
3101.5418  129.3148
3112.0487  161.6614
3113.8508  160.4132
3115.8171  179.6049
3122.831  632.4365
3124.1202  64.8932
3132.8084  141.409
3136.6958  83.8716
3157.0137  334.2543
