Frequencies[cm^-1]   RamanActivity[A^4/amu]
36.2471  0.0
64.7286  0.0
98.9578  0.5758
111.8659  0.0
116.5007  3.198
134.533  0.0
175.3765  0.0
191.4044  3.9591
215.4457  4.7624
275.5803  0.0
287.7632  0.0
293.2212  4.1441
293.7554  4.1091
352.7784  37.6874
355.1277  1.6613
409.72  0.0
424.5901  0.0
427.9857  2.178
439.4996  0.0
459.4406  48.8958
477.7411  0.0
519.3371  0.2354
521.4887  0.0
535.8966  77.1217
575.8139  0.1909
580.2463  0.0
604.6308  4.4734
609.373  0.0
628.2843  0.2372
636.4477  7.7478
642.9579  0.0
654.0831  18.6522
661.2773  0.0
712.4501  0.0
716.6332  0.0
724.8281  0.4958
734.4222  0.9115
740.3765  0.0
759.1679  0.0
768.55  0.0
769.21  0.7004
781.354  0.0
811.3624  16.5355
819.7271  4.1672
839.0985  2.0193
845.7132  0.0
875.8572  0.0
880.2818  0.89
897.1523  6.0842
904.3837  0.0
904.6381  0.2486
912.0509  0.0
934.7863  2.2209
936.8034  0.0
940.5788  150.1301
942.8916  0.0
944.2304  1.4855
962.7571  0.0
1022.083  1.0E-4
1022.8626  209.8118
1032.3488  47.2978
1043.8077  0.0
1058.7485  6.3413
1090.1061  0.0
1100.9592  0.0
1111.414  365.7239
1145.2632  206.8351
1146.8016  1.0E-4
1166.4653  122.5288
1166.6055  0.0055
1174.6325  0.0
1182.837  292.4539
1231.0957  1901.5111
1238.9022  0.0
1251.6695  448.5396
1270.635  0.0
1283.0221  69.7433
1298.3082  0.0
1351.9485  0.0
1356.8102  563.1825
1368.4849  71.9831
1373.4296  0.0
1401.8073  0.0
1415.3175  1.0E-4
1416.5645  154.7551
1430.601  491.9215
1441.9282  332.3979
1449.4498  0.0
1454.5893  0.0
1462.9068  178.9326
1463.1597  0.0014
1516.4272  0.0
1552.6952  3324.1527
1563.4758  625.0414
1571.4266  695.4361
1572.2556  0.0
1596.4883  1.0E-4
1597.1961  660.8717
1606.7129  182.1792
1617.7129  0.0
3094.0515  0.0123
3094.1503  84.8593
3096.4942  104.3774
3096.5424  0.0013
3103.2892  0.0273
3103.4518  350.3155
3110.8445  517.5802
3110.9328  0.0129
3117.0632  0.0973
3117.1963  734.0106
3126.0232  391.287
3126.0794  0.5528
3137.2497  0.0548
3137.4987  408.6598
