Frequencies[cm^-1]   RamanActivity[A^4/amu]
68.7482  0.7785
73.5839  0.6527
152.7996  1.3686
176.3944  4.6369
188.5142  0.6955
261.2299  0.9505
297.6534  0.1135
315.6953  23.3713
364.2078  9.6788
383.2782  0.2683
412.1456  0.1225
426.9542  0.9461
450.9897  2.2389
494.9838  7.6943
520.3526  0.5564
527.9973  3.8109
548.4914  1.4066
607.919  1.1168
647.234  0.3963
698.0666  3.2008
698.1414  6.2993
713.8995  30.6214
721.5976  1.3747
732.5324  0.1592
754.48  11.6013
762.2045  13.126
776.5012  0.2172
799.1971  0.3486
841.7705  2.9778
850.4508  0.9202
856.2153  0.8047
860.9755  0.7802
868.7137  3.3959
917.0706  2.8031
918.4645  0.3765
923.3692  3.137
935.0392  0.1271
938.6959  19.2274
949.6536  0.0788
955.9321  2.3561
1037.0405  28.6102
1062.6676  28.0077
1086.1418  6.5842
1105.6318  5.0895
1115.2451  40.1145
1140.5291  19.7481
1149.8751  6.1075
1169.2192  15.1451
1207.3707  5.1269
1212.2792  39.9763
1215.9915  2.5718
1232.7278  77.8372
1255.3339  55.6285
1279.8804  19.4741
1315.3387  44.6717
1358.0125  313.4288
1371.2822  73.2606
1379.3672  551.3811
1389.2366  251.2147
1424.1967  177.6394
1431.3806  40.1113
1445.4298  243.5342
1486.5909  19.8878
1510.9621  98.596
1557.3052  106.7629
1577.1388  207.1253
1603.6721  55.8527
1607.2656  226.5681
1625.0489  188.4408
2951.2325  426.1985
2973.279  157.3479
3083.3784  46.6219
3086.0387  95.2206
3089.3677  63.9175
3100.0724  139.0378
3104.5243  227.258
3110.8088  77.8696
3117.2112  184.3041
3123.3456  89.8343
3126.4652  283.1698
3147.0723  327.7048
