Frequencies[cm^-1]   RamanActivity[A^4/amu]
36.526  0.2284
54.6796  0.6286
95.3512  0.4447
109.8621  0.3765
169.3676  3.1183
177.1754  3.1335
183.3408  0.8928
238.6111  1.3277
264.3774  1.681
287.8353  27.0386
297.0528  0.654
312.964  0.2135
320.3858  26.7295
379.0543  1.8158
413.0661  2.8798
416.566  37.3885
429.0465  6.2085
445.4365  0.9127
457.3483  0.2508
479.8591  3.0582
509.1827  0.7276
514.6708  11.3293
523.9562  19.0341
524.7256  0.2909
549.5206  0.3094
566.5941  8.2202
570.3102  0.184
589.8008  13.2388
592.8008  0.2084
627.894  0.7732
644.7299  0.2399
660.7935  0.5167
673.6304  3.9321
707.6687  5.0439
710.3203  0.314
731.1379  0.7796
736.6497  0.2135
748.6924  1.0035
755.0078  0.6362
760.1164  5.125
772.8181  0.4688
801.3792  0.4046
811.3781  0.7823
825.1267  0.1876
832.6518  1.8919
848.8902  2.4998
852.8087  0.4392
866.6042  2.5081
877.179  0.1033
880.6588  31.5496
911.1933  0.3297
926.2064  0.0423
927.4216  7.3974
931.3205  0.0298
936.8928  0.0302
942.9007  0.4217
945.1865  58.4558
950.4363  0.1223
1025.7454  9.3072
1033.2472  49.8882
1048.2437  27.0538
1082.2979  8.515
1097.9805  41.3147
1125.9481  5.1312
1140.8021  8.2222
1142.6033  4.0959
1150.1679  4.2621
1162.56  14.1953
1188.0859  27.5534
1211.3534  39.4617
1214.019  9.0703
1220.0018  28.292
1227.7614  118.6423
1246.6727  76.2001
1254.2005  120.2306
1289.2651  161.2127
1305.7418  217.4478
1336.6896  39.1181
1348.8979  263.0195
1369.2008  320.8116
1376.8533  611.2058
1382.4257  68.7721
1389.7008  731.8884
1398.4307  36.8894
1407.3652  183.2763
1416.5796  34.6272
1430.3745  81.943
1440.2177  2.8195
1469.6798  68.9847
1480.8886  130.7235
1486.8088  87.2797
1512.2254  47.3331
1522.8803  77.707
1562.1236  6.545
1580.2616  27.0994
1584.1187  573.0998
1592.9998  985.3575
1607.6268  110.0143
1608.5339  103.9011
1617.7855  29.024
3088.6618  23.9133
3089.9298  104.0823
3090.5941  30.2033
3094.6891  82.3204
3095.0067  149.4853
3102.3335  143.0762
3106.229  139.5543
3106.7429  105.3395
3108.0422  601.3357
3112.4077  241.0959
3116.2477  308.3304
3124.4898  162.3275
3128.2866  198.1745
3134.0329  333.7423
