Frequencies[cm^-1]   RamanActivity[A^4/amu]
16.5819  1.2153
32.8816  1.2158
46.254  7.9584
56.7493  2.8693
73.7383  0.1207
83.4018  0.065
121.6113  12.7214
125.1598  1.0793
131.466  1.6414
173.1715  40.0409
183.7187  0.8281
189.2655  0.2777
208.858  2.9712
232.7354  0.6164
259.8062  0.37
283.8266  8.9358
294.7454  0.7653
328.1959  0.3931
343.5562  1.208
364.5814  0.0358
366.7776  1.8025
379.8314  0.1379
413.0026  0.4676
433.0001  5.1249
438.8829  176.0502
446.3255  1.5845
450.2619  0.1102
452.637  0.2819
455.7824  0.0162
458.9332  0.2386
482.6555  34.5212
487.2114  16.3509
505.9268  37.4741
519.0259  1.0321
524.6766  0.8978
538.3637  4.1335
538.8368  6.1883
577.4738  0.2599
608.9878  11.379
622.1784  0.9235
624.9581  0.061
628.1395  9.8779
658.088  0.2185
688.5421  0.347
704.4302  28.5223
715.9491  1.6318
719.2942  0.0708
721.6069  0.7457
728.7487  0.3797
734.2938  4.3245
738.7732  0.4214
744.383  1049.618
749.9142  1.3617
755.4424  7.5402
761.3532  61.3826
767.7414  130.702
769.3224  1.0408
782.8872  0.1232
793.746  0.1056
812.9155  0.2456
814.9258  3.294
823.1593  0.2546
824.4893  4.9137
825.9445  0.3175
831.2589  1.2612
845.8431  0.0489
853.0043  0.6418
857.4621  0.6902
865.0243  21.5881
866.6722  0.3912
879.6924  16.6535
880.6792  2.9827
882.8815  1.2411
890.5026  0.2672
896.7802  0.5433
904.4322  1.3516
918.5422  0.5991
933.9312  2.7045
939.7597  3.8088
950.4082  0.9332
953.0314  0.7506
974.7946  12.0858
1001.5452  201.8943
1042.3104  162.0286
1097.1132  0.6767
1119.4145  0.5624
1127.4128  2.2101
1137.0291  16.3356
1147.3719  128.7442
1150.9924  26.567
1157.707  1248.9374
1164.735  1712.0386
1167.7757  1289.4004
1176.715  54.5638
1189.0315  326.291
1202.3305  99.591
1213.6568  467.6058
1222.6657  247.684
1236.497  257.7494
1247.7393  2.5504
1254.3662  0.2754
1256.9272  9.0512
1263.2876  87.6324
1267.3169  117.8628
1281.3408  230.8455
1293.6873  39.32
1299.5289  21.448
1323.6096  237.6326
1341.9496  2201.7449
1354.2989  409.9842
1366.3425  88.9395
1383.5249  6483.5938
1390.7582  19.0363
1393.6597  1556.8703
1396.2061  884.3331
1397.1444  1105.5766
1405.6689  2519.9569
1415.6002  13825.7686
1432.0668  1756.6705
1440.3727  520.6734
1448.107  1150.5495
1476.8221  1390.8839
1483.4334  2195.131
1500.1639  2511.4576
1510.971  17.434
1517.3252  6.1406
1531.8106  11.8291
1535.2988  435.2409
1546.8208  3538.386
1550.2364  2460.7081
1576.5606  365.6365
1591.8855  325.6489
1599.5747  997.8531
1611.2454  193.0021
1615.2291  1827.5232
1622.5032  18.1733
3083.6739  6.7442
3084.1248  11.3839
3084.8591  16.9948
3085.5054  5.0851
3085.7167  23.1816
3086.6678  39.7744
3087.5305  14.3431
3087.6776  23.7516
3088.5207  10.1017
3089.6983  2.805
3090.7674  532.4525
3090.93  144.6347
3094.1188  213.2221
3100.3949  152.9191
3105.172  59.4335
3106.3661  477.109
3108.2959  321.3784
3116.5083  346.4967
3120.759  952.2947
3125.3882  481.3291
