Frequencies[cm^-1]   RamanActivity[A^4/amu]
82.9348  0.0313
87.1803  0.6712
145.9824  0.5025
178.4803  1.0239
227.1983  2.4722
238.6359  2.4824
286.2135  0.0626
361.7945  22.963
367.6491  0.3917
394.7379  15.8161
428.5465  4.7522
435.6953  0.1291
490.274  0.0418
500.273  1.3514
516.7218  0.493
521.9426  31.7648
561.7468  5.8661
563.4027  2.5421
600.089  0.7043
627.6489  4.4135
653.0781  16.8664
710.5718  1.2867
722.1794  0.1554
741.8521  0.9682
759.3242  1.2071
761.0141  0.6726
783.3862  0.8299
809.8401  1.9656
828.5292  0.5165
843.983  9.2619
862.4838  0.6129
877.2785  1.5377
919.1305  0.6753
923.4695  1.5452
932.4036  1.5635
941.1472  0.1616
945.0767  3.0639
952.2812  0.7702
956.9309  1.6162
1019.7044  18.6382
1037.6297  51.5305
1052.9569  12.2532
1067.8307  10.0771
1129.5935  0.4978
1144.0426  9.4604
1153.1057  11.9826
1165.4857  9.2034
1171.852  44.3412
1177.5589  3.0804
1219.652  24.2288
1242.3447  12.1408
1268.7117  17.9436
1293.2695  5.5785
1349.222  73.0842
1362.2468  6.8732
1364.3559  12.2096
1373.824  40.726
1391.7663  15.0465
1399.2952  22.7128
1410.5011  641.9385
1419.8003  22.5211
1448.3333  8.0094
1476.7784  67.4211
1526.1672  128.3387
1555.9141  245.8795
1571.5495  9.9639
1598.5466  81.8389
1614.943  3.2946
1656.7164  176.9579
2904.1682  255.4729
2909.9435  120.6373
3081.1724  71.5744
3086.2155  38.2369
3089.8832  61.558
3090.4312  83.2971
3097.4016  147.3323
3100.6493  143.5072
3102.3107  301.1302
3115.1106  176.0621
3115.8702  444.9077
3125.2209  294.0143
