Frequencies[cm^-1]   RamanActivity[A^4/amu]
14.3015  0.0
22.0643  0.0
45.1817  6.0291
77.4095  0.0
90.3808  0.0
114.3928  0.5163
137.3247  5.3336
146.5442  0.0
165.3147  0.0467
193.5958  15.9965
204.4255  0.0
213.8141  0.1801
219.2617  3.8934
223.6312  0.0
276.367  0.0
296.8968  1.584
361.9364  0.0
371.6469  8.4707
372.7087  6.6305
394.1429  0.0
395.2388  0.0
417.5799  0.0
426.3581  73.7628
429.3105  0.0
431.865  0.0
445.8398  4.0114
476.8512  0.592
482.7467  0.0
496.6916  0.0
497.7581  0.0162
524.9717  0.0
535.033  0.0
547.5906  51.5006
550.6747  2.0E-4
554.5786  0.2202
555.8467  0.0
559.1844  0.0
586.8897  0.0046
586.8976  0.0
603.5262  0.0
628.4249  0.6123
637.8409  0.3507
670.9931  108.3981
673.8689  0.0
700.9058  1.0E-4
706.5328  1.79
708.5355  4.0E-4
709.8741  9.223
718.8825  0.0
722.7691  0.0
745.7322  0.0019
746.7301  4.2255
749.6822  0.0
761.0996  1.0775
764.8945  37.761
784.3698  0.0
808.7027  4.0E-4
811.6009  0.4349
814.3627  0.6717
820.0302  0.4168
828.3879  2.0E-4
845.9905  0.0
847.0002  1.3964
863.0114  0.0
866.4462  2.8591
872.7527  1.7326
873.1659  0.0112
879.3557  0.0
914.1765  0.0
920.1871  0.0
932.8776  0.0
934.8097  0.2651
935.4062  0.1002
937.887  0.0
945.2884  0.0
945.9094  1.0229
989.8759  33.7462
990.3989  0.0011
1064.649  25.1074
1070.9195  19.2555
1074.059  0.0
1086.109  0.0
1089.3392  118.2508
1094.7283  1.0E-4
1097.4653  16.6339
1111.4378  0.0
1141.5683  0.0
1141.6923  55.745
1163.5894  0.0
1168.4578  12.9705
1172.3455  0.0
1174.4068  29.572
1219.5086  0.0
1221.4693  0.0
1223.3939  113.3362
1226.3469  4.8864
1256.1749  0.0
1271.5067  128.7883
1280.4102  1439.1306
1282.209  102.7193
1284.0193  6.0E-4
1298.2897  0.0
1326.0663  3177.4965
1336.7219  0.0
1341.99  22.7745
1350.2141  3.0E-4
1360.3441  0.0
1379.9247  48.8373
1383.1971  0.0014
1400.4576  344.3187
1401.9859  0.0
1407.186  16.8804
1413.502  3.0E-4
1422.4757  2.3809
1428.8568  2308.2306
1430.7254  0.0013
1469.2664  0.0
1472.3903  0.0
1480.5944  1446.67
1494.8342  0.0046
1495.3835  30.8249
1519.4777  0.0
1541.2426  48.0487
1570.2714  1373.7451
1576.0466  5.0E-4
1584.1036  1.0E-4
1584.3383  156.2433
1593.4822  8.0095
1596.2285  0.0
1606.4565  540.4106
1616.9357  0.0
1617.2478  1039.943
3088.993  76.828
3088.9985  38.3717
3094.8526  220.9426
3094.8768  0.0013
3094.9491  24.9243
3094.9876  106.4092
3107.2974  668.486
3107.2978  0.3057
3110.3505  0.3806
3110.6891  987.6877
3110.8482  446.0519
3111.0081  0.0027
3126.015  3.4976
3126.1511  580.1162
3128.5066  0.0939
3128.7291  1.0E-4
3148.7334  0.0247
3150.9349  120.549
