Frequencies[cm^-1]   RamanActivity[A^4/amu]
38.8897  5.4237
54.7271  3.7464
84.8769  3.1776
93.9927  5.821
107.3103  7.7619
124.0759  1.4965
156.4872  1.7199
209.3287  6.2286
211.9819  4.2825
236.9702  5.4903
274.0536  6.3495
285.8454  8.5588
295.626  17.0764
314.8208  6.2103
320.48  23.0384
336.6849  9.2436
389.9711  35.487
402.5715  77.0129
413.4843  15.668
436.6722  9.8135
467.2697  5.4829
475.884  4.5736
493.1389  3.6942
496.1198  1.7978
507.8042  8.0443
526.7568  2.9554
540.8414  6.0337
549.6369  4.4929
569.3585  3.1197
577.1144  6.7368
596.4029  0.9791
619.0933  3.1801
626.9981  2.6973
631.1894  1.792
645.9918  15.1431
653.7701  7.0757
682.4878  8.0578
726.9741  4.6291
730.993  11.2925
734.0417  3.075
735.7842  0.8965
743.8751  1.4634
748.9684  1.3423
766.2501  0.9879
787.8606  12.0625
795.8602  6.4418
822.8357  33.9722
828.1888  27.68
833.7327  9.0103
840.965  0.6972
853.7666  7.5244
864.5905  1.4488
874.5545  5.1151
883.1258  15.3485
890.7524  9.2322
899.1859  4.7579
917.4898  41.3471
920.5767  7.1118
937.8489  2.6419
942.1194  1.8186
942.385  1.1396
943.103  65.7527
950.4679  0.9014
967.9922  5.1197
1027.0719  52.4509
1032.3849  24.4257
1041.448  121.9802
1061.2607  115.1776
1075.8946  9.8335
1098.779  15.829
1106.3659  27.155
1132.7631  35.4839
1143.8918  45.9599
1146.0846  58.8353
1150.8408  29.0641
1168.1129  152.4083
1180.3745  9.2469
1188.5623  130.1059
1194.8507  145.6941
1230.1941  216.1423
1239.0431  115.076
1252.7457  125.1074
1263.5639  331.8455
1291.1916  39.4918
1296.7378  71.5261
1321.2091  188.4669
1342.1294  756.8891
1347.593  521.0938
1360.8139  63.1231
1367.1546  329.0943
1371.4517  381.3531
1375.5356  180.9214
1393.2545  425.127
1401.5949  1007.3215
1419.2636  142.5292
1435.0332  288.5862
1442.1195  127.7754
1455.96  77.3934
1467.5104  176.1934
1483.1246  49.574
1518.3051  275.94
1520.5735  1372.3128
1543.2185  2485.2192
1565.9107  163.8149
1567.7956  50.9076
1581.9935  931.4861
1585.4142  24.5647
1599.0364  675.6353
1604.0164  480.4993
1613.0427  53.3336
3088.6453  67.4868
3091.3284  29.7859
3091.9772  115.011
3095.5959  111.5386
3101.1624  187.694
3102.9083  30.4389
3102.9828  219.3755
3110.4457  258.4368
3115.2512  224.7175
3116.6783  275.9609
3119.5963  197.8587
3120.6188  45.1349
3124.4061  382.9291
3128.0291  180.5623
3133.144  454.6135
3136.9734  108.2536
