Frequencies[cm^-1]   RamanActivity[A^4/amu]
39.9835  1.4138
64.3608  0.8284
112.2191  4.2318
128.1179  4.8358
132.1527  0.4215
206.4423  2.5559
237.1867  6.6549
244.4141  0.0247
272.0012  1.0847
298.3702  2.4304
310.5093  1.5721
402.1106  26.6214
405.1251  0.6485
420.8511  0.2518
435.9727  2.873
451.8859  0.6423
495.3436  0.6045
511.7454  6.4181
536.0312  0.1027
541.875  0.5869
545.3663  5.5429
562.0595  1.9029
577.9462  6.3597
625.4246  0.4241
625.7193  1.1471
683.1045  18.0069
694.2834  27.6473
703.4825  0.5331
714.0512  0.282
730.4798  0.0673
746.2003  2.5757
753.2673  0.0354
783.6667  0.0649
794.9613  1.3676
804.5564  1.5505
826.4822  105.1697
828.9768  0.8734
844.0844  0.3396
853.0044  0.786
866.8154  2.7601
900.2454  0.0299
918.8924  0.0023
919.0174  0.5755
932.006  0.4232
938.6885  0.3996
949.9133  0.1953
952.6524  0.1874
970.7791  4.6265
994.6665  15.5082
1023.3538  46.2111
1046.4405  36.281
1087.4983  37.5756
1110.9175  0.2452
1124.4282  10.7256
1132.6236  2.3522
1142.0606  8.422
1143.2991  11.0104
1149.2301  68.3439
1152.3651  1.9082
1169.4893  33.6529
1188.1103  44.7614
1214.1974  78.7738
1215.3431  25.7386
1241.3764  50.6934
1270.9789  145.4552
1282.3942  114.4955
1304.3866  634.2322
1343.7012  636.0639
1352.9535  33.917
1360.9144  36.6348
1388.1199  90.4849
1400.0816  36.1347
1403.9419  33.6033
1411.9227  20.1544
1443.1266  101.8146
1456.4772  38.3103
1459.1382  243.018
1493.7119  8.3293
1526.7629  472.1075
1558.7478  54.1511
1576.8737  622.2962
1587.599  320.8604
1603.226  760.6283
1606.3894  27.5316
1616.2962  51.0774
2951.6082  140.128
2980.986  44.2488
3087.6695  19.7512
3090.3427  27.9022
3090.5339  78.7949
3092.6551  98.4562
3096.4792  98.3982
3102.6901  140.1924
3106.9264  231.9208
3107.8296  153.8555
3112.4667  213.7233
3119.4643  373.0089
3120.5863  532.0254
3196.6598  50.3689
