Frequencies[cm^-1]   RamanActivity[A^4/amu]
62.0314  0.1378
89.4366  0.1838
137.5478  0.3432
161.2745  2.9216
164.4959  3.4656
199.9734  2.0243
246.4328  0.6036
298.7664  0.7799
314.1694  10.3822
330.9594  0.2365
360.3056  6.9985
401.3472  42.524
415.0251  0.2117
432.4103  0.1156
467.6943  5.9792
478.1979  0.2721
497.2416  2.9314
507.9731  19.7914
527.6485  0.7399
546.4853  0.3293
554.7896  1.9499
578.7096  3.4445
598.9973  2.2568
611.4398  0.189
621.6827  34.6569
671.6433  28.7011
681.5493  1.8033
684.0173  0.1395
723.6132  0.052
735.7238  2.9086
739.5942  0.2614
748.8742  0.0675
766.0325  0.1429
777.8688  11.2281
796.284  1.0192
827.7148  1.3116
839.1949  1.4613
847.7803  4.6222
851.36  0.5006
867.9789  0.6493
877.5624  4.6985
892.6274  1.7461
912.4427  0.4309
918.918  0.48
937.7679  0.0412
946.7027  0.1589
946.7444  1.0289
970.8529  18.5919
997.1136  106.408
1022.4373  28.7508
1053.4482  10.7222
1076.9893  4.9913
1094.9831  40.745
1102.4667  104.6809
1131.6873  8.3581
1143.6392  64.0268
1146.9376  27.5143
1163.6138  36.753
1179.6143  297.4925
1211.8101  64.3795
1216.8467  58.142
1237.0223  579.2534
1243.5844  63.3724
1281.5748  61.8138
1307.357  51.5376
1333.7706  39.5656
1353.0406  14.0398
1365.2967  7.2764
1392.8212  18.1473
1404.9559  8.7242
1419.5026  364.0868
1428.3506  308.6371
1433.0496  105.6631
1441.7635  120.3462
1465.7591  42.1172
1483.3892  81.8075
1503.3039  91.8905
1543.8646  450.4004
1569.1843  0.8425
1575.8251  206.7601
1593.506  67.9062
1599.7011  150.2281
1605.7532  142.608
1629.8161  1023.5881
3087.5491  47.6418
3088.8234  40.0375
3090.3079  84.1964
3091.3566  67.2207
3092.6483  5.0616
3098.1637  50.6114
3098.5657  221.5252
3105.1896  250.5527
3106.9537  340.4799
3108.9604  185.1005
3116.2752  502.486
3121.4528  541.3184
