Frequencies[cm^-1]   RamanActivity[A^4/amu]
67.3691  0.3463
87.8687  0.7035
165.215  1.1777
181.2496  0.8109
209.9822  0.9272
212.9312  2.4324
285.2856  1.1052
306.7248  0.5205
343.6702  66.4931
379.7819  0.4895
383.7308  5.9573
437.5748  0.4163
469.7232  8.1574
472.2661  2.8692
492.7979  8.2166
508.4226  2.2366
520.8131  0.4822
535.3489  0.2578
558.375  6.0554
615.019  1.6217
630.1391  16.1684
635.9836  0.6581
642.2248  11.8067
657.0662  1.0308
704.7402  0.4599
730.7954  2.0927
732.9162  0.3315
745.985  0.1494
778.2761  1.3945
788.0471  0.8644
797.6692  1.716
823.9083  1.615
837.4941  0.1282
841.2404  12.0736
870.8883  4.0459
880.5803  5.1177
882.6786  5.0593
909.3962  0.9318
923.2632  0.4653
934.3924  8.3565
946.6647  1.1331
948.5662  0.523
956.3745  23.6304
1030.0939  53.6863
1038.7772  11.3574
1081.3846  2.2332
1088.3076  5.0667
1108.1947  17.6298
1125.5958  3.3442
1147.8313  3.6798
1159.316  151.3872
1167.8248  35.0318
1179.4823  147.7232
1182.203  64.9018
1227.4479  17.7127
1247.1012  16.7432
1261.6981  6.9438
1296.836  7.4317
1327.0025  209.002
1355.8983  784.3352
1359.2378  41.5968
1365.9114  52.3887
1376.8379  24.9974
1409.3496  35.4988
1419.3871  79.39
1435.7118  244.7508
1450.1363  64.2683
1474.6774  95.2673
1520.2854  586.1058
1536.7589  84.1246
1556.1494  973.3942
1570.4783  151.6644
1599.1476  5.1769
1602.5799  493.5233
1632.4886  156.5915
2945.1222  681.0461
2965.6822  217.0968
3084.2905  19.5793
3086.3661  92.398
3089.9151  88.5007
3093.2662  162.9755
3100.4935  99.7788
3108.232  279.0875
3111.8958  171.9434
3118.2446  104.8026
3124.2502  467.8307
3139.397  298.8972
