Frequencies[cm^-1]   RamanActivity[A^4/amu]
31.0876  8.7401
33.9954  4.8262
66.6255  9.899
78.1236  3.8194
88.5841  1.0332
114.776  1.063
123.446  4.6981
148.7213  0.9599
179.4348  2.0042
203.9553  4.4275
223.0383  3.9055
239.9189  9.0313
269.9979  3.5696
274.6883  2.8407
292.7467  5.6774
325.971  12.6607
335.6393  7.6938
391.4898  10.8606
399.4793  19.0397
416.0902  3.0124
419.9148  1.1368
429.989  8.8195
436.5569  1.7694
456.9296  2.3664
480.8097  1.782
489.7204  1.3171
502.2907  1.8048
518.6684  2.4996
534.0869  1.8478
544.1359  1.6758
553.7072  7.8744
559.5602  8.5013
575.9187  2.1168
598.0034  3.6787
610.6312  4.1054
613.1011  2.682
625.2894  0.7043
653.4976  3.2906
659.8613  43.6645
684.597  1.2846
704.8644  2.1657
716.8235  6.9932
734.6494  0.5208
737.4378  1.0761
746.3716  0.8865
748.2424  15.2279
762.8465  10.236
769.0878  0.7557
770.7374  21.9973
784.0143  0.6086
789.4355  1.0784
810.5351  7.9121
820.7757  0.5234
834.3988  1.5477
843.6257  4.4275
844.7747  2.6456
859.9701  0.9875
860.7841  1.8574
882.3117  3.7624
914.5206  2.4654
926.7983  1.9273
930.6462  0.5015
936.3655  0.8777
945.635  3.7824
946.5539  2.4121
951.1466  0.2506
959.2079  5.911
971.2789  5.1286
972.5216  5.1802
994.6774  25.7194
996.9923  5.4114
1039.8919  84.9142
1040.7233  11.4356
1047.9136  18.5126
1061.7666  59.7816
1089.4902  5.7339
1106.4258  4.6977
1126.4755  3.5828
1137.4294  1.4945
1142.3293  4.2399
1147.6919  13.5036
1151.1535  2.6843
1154.5758  14.999
1165.4345  74.3766
1201.369  20.3143
1212.6308  7.8813
1218.6298  19.7037
1223.5256  121.3288
1231.9664  190.3158
1240.1511  91.6843
1250.2366  196.2611
1275.4365  3.2151
1290.2512  314.8298
1299.1441  7.9348
1332.0371  113.5788
1337.0764  416.5621
1351.2555  1099.3674
1356.1409  1955.0279
1364.3679  124.0392
1375.7675  163.7756
1379.5456  1372.7944
1400.2652  373.8793
1410.3471  112.0752
1425.1422  161.9337
1429.4756  262.0424
1438.1167  27.5117
1466.2567  11.6025
1472.4747  40.9061
1484.8343  261.3252
1495.6005  138.2419
1515.7182  121.5972
1534.7523  104.8518
1554.1539  108.8292
1569.4139  173.1771
1579.7041  24.9779
1586.8931  322.0271
1598.4997  461.9356
1601.5385  241.5605
1604.6539  106.6259
1613.4216  49.9659
3088.961  25.4909
3090.9199  105.8616
3096.123  105.7999
3098.8448  39.9662
3099.8371  139.7622
3102.4619  165.703
3107.7613  359.175
3111.2939  182.0898
3114.1981  302.7887
3118.4694  466.2919
3121.935  23.2132
3125.0021  67.192
3130.6686  39.3058
3132.3483  48.5123
3134.0867  392.5571
3138.1824  68.112
3140.1327  236.2432
3147.658  209.1284
