Frequencies[cm^-1]   RamanActivity[A^4/amu]
17.9248  1.1693
25.3237  0.3214
45.548  5.2276
70.3983  0.0633
76.6937  1.0257
93.8532  4.2003
110.4802  0.083
156.7823  0.199
161.5441  5.5887
162.615  0.0018
181.5281  8.3903
216.8949  0.3575
257.9155  2.4897
261.414  4.5839
272.6318  3.3177
303.3837  1.1605
311.6322  0.0852
372.7327  0.7436
393.5649  3.0422
404.1499  28.5821
408.8107  2.6044
413.6076  0.9238
425.6224  1.2881
436.4111  1.5494
446.3818  0.2169
455.5722  0.0235
468.9141  0.1669
482.7638  3.9
490.5052  6.7378
533.7867  0.0869
540.379  1.2964
549.3287  0.262
551.8831  108.0756
581.8987  2.5279
595.0987  1.1103
609.9085  3.709
612.1474  7.5787
612.5104  0.0118
616.0791  0.0247
666.5077  0.7609
666.5883  28.9173
670.5696  0.9042
698.5215  116.6347
708.1918  0.3248
708.5082  0.3569
735.073  0.0259
737.7077  0.1351
743.5191  0.0021
756.1448  0.054
758.9298  4.8823
763.0548  0.0087
763.2286  0.6945
768.9868  0.8708
792.7053  140.7062
806.2169  49.84
809.0238  0.5565
827.4695  5.389
838.4405  0.0545
840.0987  0.5425
853.2411  0.3699
874.3769  0.0839
882.7886  1.0987
883.4396  1.3518
887.0462  3.5901
906.0098  0.1299
908.6967  0.6045
917.9107  0.0037
920.2406  118.5206
939.0947  0.0971
942.0535  5.0E-4
946.6437  2.3694
948.0783  0.0667
948.6091  0.0978
994.8596  29.4268
1017.629  29.3537
1019.0123  6.0754
1039.8423  184.3823
1049.1919  18.2002
1061.0117  180.3255
1078.932  925.8564
1098.7141  0.4605
1106.1387  0.5512
1125.8123  7.5162
1150.0402  16.4703
1153.4046  22.3658
1160.9478  118.6985
1169.472  0.9261
1187.0562  129.2668
1193.6341  13.5837
1216.677  0.6551
1219.2922  82.0529
1224.8638  41.76
1234.2839  67.9275
1247.9515  2381.9634
1254.663  1.407
1271.1747  0.4093
1272.0054  35.3452
1296.69  21.7662
1305.5741  420.4163
1337.1972  150.6855
1345.2216  188.8375
1350.1499  2044.2248
1368.9438  145.6393
1376.0556  15.232
1394.5944  1462.3387
1412.9625  161.0064
1417.2905  323.83
1419.35  177.0533
1436.324  4365.7272
1440.507  53.2491
1441.9485  1715.9688
1451.886  2514.5383
1454.7279  20.9096
1481.3199  0.1807
1486.5231  61.7365
1500.7625  803.4907
1555.7918  122.8777
1564.702  502.6753
1573.5554  62.6162
1591.843  4548.4927
1592.8433  1039.4345
1597.8985  1933.2668
1599.416  667.483
1608.9422  42.0465
1611.3894  1.8108
1622.2488  209.401
3088.6289  3.0394
3090.3689  81.3298
3092.7262  64.9666
3092.9917  23.0524
3099.1802  20.8924
3099.9652  140.029
3102.5803  43.6968
3103.0133  389.212
3109.6597  148.832
3111.576  199.8012
3114.7272  107.8518
3115.6617  215.566
3116.399  840.8749
3117.1419  130.6256
3127.461  35.5387
3133.4641  184.6776
3133.9957  9.4148
3139.9362  502.9592
