Frequencies[cm^-1]   RamanActivity[A^4/amu]
32.1463  0.0555
49.1115  0.3849
78.9619  3.0201
104.2618  1.006
111.2698  1.6206
153.0332  0.2287
174.0259  1.294
179.7334  6.7132
194.8936  3.179
242.3956  2.5464
249.7116  0.4544
255.3341  302.1235
271.8633  3.8435
282.6815  0.5514
292.4874  3.4926
329.4901  0.4091
344.4003  37.805
346.6867  0.4951
359.5811  0.0136
381.7899  6.2554
382.7867  0.2043
401.3646  9.6056
404.8569  7.7575
445.4309  19.964
448.9836  5.3981
455.1872  0.0166
488.3325  1.6611
497.7974  10.5556
503.793  12.5628
510.9328  0.3345
516.7825  7.0835
532.0642  0.0551
536.429  0.2028
546.7148  15.0843
551.2097  0.8687
566.3444  0.8196
569.0193  3.1212
591.3541  3.5187
597.1816  1.1117
609.8856  1.0593
628.9029  15.1311
632.7796  0.9955
637.2084  4.1453
647.56  3.1655
660.0696  20.7452
670.1574  0.8272
684.4108  0.2672
703.5936  15.6839
715.8999  0.8155
726.5402  0.0536
737.86  0.0576
758.0894  1.1127
763.8903  81.5992
776.1804  0.2665
778.4471  1.6655
784.4046  0.1789
788.8537  13.9906
793.3757  1.241
808.3392  0.3088
815.0371  10.9932
819.621  4.2308
828.8794  0.2529
838.116  0.5052
846.6383  1.2038
857.8944  1.4593
858.9665  62.8467
867.3625  0.1066
876.6674  0.0438
880.1089  3.516
883.5568  5.2691
884.3403  64.3376
915.8959  0.2399
936.4951  0.3954
938.4715  12.3254
940.9295  4.9161
942.7958  1.286
942.8994  2.2726
955.5251  11.5775
1013.6929  1.5903
1051.1739  273.5668
1060.1745  37.4335
1069.6431  35.8093
1073.063  10.1474
1081.0393  9.2095
1113.2119  114.1786
1130.6328  26.9863
1143.748  30.71
1155.4031  280.3809
1161.2472  358.4871
1168.2611  1.3137
1169.1836  1115.8854
1173.2292  152.7795
1177.6529  49.0746
1189.691  244.8465
1209.1041  700.6487
1230.5971  708.4583
1240.8526  57.6361
1258.96  49.0825
1297.0185  14.9321
1301.8694  89.0905
1311.1449  142.2932
1318.9199  1141.8841
1325.7234  82.4464
1345.6592  65.6446
1358.9758  2070.4638
1373.2568  50.0422
1377.4596  317.1039
1381.0627  559.7823
1384.1145  172.8421
1387.942  155.4485
1390.8044  712.3461
1395.6247  13.8393
1413.2203  44.0444
1418.6465  172.9177
1421.7982  40.3939
1428.4028  6.0831
1437.8074  110.7863
1454.1731  84.7162
1465.8106  85.4283
1471.9286  116.4984
1479.4175  13.3314
1499.2924  455.1076
1509.2787  128.4398
1522.422  112.2213
1544.0171  263.7787
1551.0846  67.5864
1563.7135  1947.8056
1567.046  861.8118
1574.2023  498.3466
1582.8713  7243.5688
1594.5498  1805.8311
1606.7642  88.8989
1608.7483  202.9809
1620.11  100.2977
3086.6026  25.3393
3087.1523  98.4214
3088.3184  131.5624
3088.921  125.6361
3090.211  283.3221
3092.7091  78.7351
3093.0377  84.0887
3094.4687  101.1704
3096.0029  283.7095
3100.999  369.3628
3101.5111  332.6435
3107.0128  385.9824
3116.8831  626.387
3117.0993  1859.5186
3123.949  16.8792
3136.4548  267.9532
