Frequencies[cm^-1]   RamanActivity[A^4/amu]
39.252  1.1441
53.8348  0.6829
89.381  2.2364
111.0025  1.0994
116.0613  6.6465
167.7912  2.1617
197.5404  1.6548
223.3288  1.2044
242.0786  2.2879
275.3215  2.0612
283.3197  8.3789
307.7737  6.1467
328.8738  0.7104
397.7342  0.6384
404.7835  24.6851
425.3431  0.8114
451.9173  14.5711
456.128  1.0972
492.1617  0.1614
504.4581  15.5344
509.3194  0.1513
545.8978  0.3428
553.863  3.6902
556.3694  9.1148
574.8539  12.5088
591.4051  0.1906
607.4919  6.856
623.1201  0.6593
642.9221  10.6519
655.3488  2.068
689.9526  0.5312
719.1035  0.7339
735.3778  0.2258
741.7376  0.1074
744.9516  22.3985
750.4478  1.0517
765.5697  72.7882
781.6118  0.5069
798.2189  1.0676
804.4216  3.7048
811.9452  0.4575
830.0904  0.9405
847.3655  0.2726
850.6107  18.7984
871.9699  1.6152
874.1905  0.0525
884.5098  15.0941
914.2637  1.5339
920.9661  0.0182
926.2085  84.3255
926.775  0.0249
935.2262  0.6152
949.0098  0.1497
952.419  0.1693
1020.0687  43.9202
1030.8502  87.3489
1037.2898  84.2809
1043.7868  11.6035
1062.0149  88.3056
1103.7814  26.8012
1132.6153  49.8776
1135.6851  55.5136
1140.1342  9.079
1148.9943  27.844
1150.4286  34.0623
1179.6149  77.9039
1184.7436  214.5812
1213.1567  14.9977
1220.1628  39.3024
1243.4311  99.1402
1261.7652  15.6969
1273.5632  345.2765
1310.2208  200.2064
1323.5304  887.5876
1352.7852  123.678
1355.2491  195.7124
1369.2795  181.8449
1385.5556  288.9223
1392.7812  21.3943
1414.9239  5.0819
1429.075  23.5412
1439.7496  132.9375
1446.9933  319.855
1460.6361  202.7478
1468.1411  105.8756
1520.1852  202.4368
1523.8719  238.1251
1549.5497  128.8461
1576.605  466.3959
1587.4941  35.9974
1599.6181  478.497
1603.9901  79.1144
1605.9706  973.1854
1613.7637  149.337
3089.8593  34.348
3090.1398  23.6392
3092.4164  125.0214
3095.2397  62.7843
3100.5914  92.805
3102.0856  183.9395
3107.2147  33.1432
3109.7522  42.9627
3110.5264  223.209
3113.2603  260.7511
3118.7348  404.8077
3120.4849  161.127
3124.0943  629.6106
3147.2275  72.4972
