Frequencies[cm^-1]   RamanActivity[A^4/amu]
16.4399  0.0344
57.6137  0.0557
101.9565  0.1886
121.3187  1.8595
165.7869  0.6637
182.8477  1.8412
204.8099  4.1557
210.0199  0.1315
239.8908  0.465
281.0832  1.029
289.9181  7.9815
314.5827  46.2453
332.223  0.8864
398.1816  14.175
409.0047  0.3948
423.6686  33.9982
453.6802  0.0494
459.1676  11.8999
464.9199  1.4889
478.6774  2.1811
492.6723  1.8695
500.4946  9.0233
525.3312  0.3103
527.6103  61.7825
530.3276  52.2227
556.395  1.9497
565.6898  9.0489
593.3515  8.2145
596.1576  0.0205
625.872  0.2014
638.491  0.3332
673.0297  14.9477
674.9387  6.8649
682.3156  0.1004
712.7489  0.9577
735.3843  0.1476
742.5772  0.7179
749.9728  0.6508
751.0508  0.2692
760.4576  3.0084
784.3837  19.6105
791.2936  0.0606
820.0391  1.6391
830.7314  0.4187
836.0099  3.9761
840.6174  0.3587
857.6346  0.2921
859.8653  3.3835
860.953  35.348
877.7956  4.2746
883.8153  0.2325
905.3629  131.2017
916.8331  0.3799
936.5685  0.0033
938.1345  0.3862
943.603  3.4101
944.9722  0.1389
974.8056  8.6099
1033.7453  48.2718
1043.3895  22.8653
1073.2391  34.431
1089.749  48.6947
1099.2678  6.2184
1124.3318  97.5866
1136.9224  68.7156
1138.3735  63.7847
1162.0457  78.6463
1165.6843  9.0692
1175.0793  5.988
1187.9504  22.6676
1213.3754  0.6059
1219.1009  47.0356
1229.8684  8.5534
1237.232  928.9708
1274.8275  1231.2122
1288.4508  448.2245
1300.9837  140.3735
1336.5284  86.3601
1352.5534  32.1196
1356.3257  19.1563
1368.5481  283.0797
1379.6697  358.8661
1389.8786  1192.1392
1397.6943  131.263
1414.9807  27.6152
1420.8992  35.1273
1427.6994  159.1733
1448.1956  35.7342
1458.2311  132.4315
1476.0554  54.8985
1496.8768  61.1056
1509.4822  4.5988
1538.0443  978.9306
1560.8585  4866.2362
1572.3269  49.8737
1584.6292  170.585
1587.6635  187.8827
1596.8204  361.8144
1606.1705  134.2994
1613.8133  964.8872
3088.6104  54.0345
3091.5648  35.084
3094.3578  76.5197
3095.2542  81.4325
3096.0803  143.5186
3099.2555  185.6212
3106.0282  55.2718
3106.9151  409.0748
3111.2918  300.714
3112.7793  392.8722
3116.5492  594.7913
3123.8301  39.2933
3128.1368  177.2335
3134.7074  257.3275
