Frequencies[cm^-1]   RamanActivity[A^4/amu]
20.7569  1.8226
28.5278  3.7831
48.3564  2.3433
72.6848  7.5157
81.4298  0.4781
106.7037  3.2344
117.4603  0.5961
150.4069  0.8869
179.9504  0.2122
186.9911  0.9674
197.7841  34.3997
213.9138  0.04
252.2436  0.237
297.839  2.6066
305.5337  10.4505
310.6553  0.0213
312.4239  5.0929
381.4318  0.1276
401.8634  2.8046
411.7476  2.721
427.5403  0.0229
453.9319  1.3228
470.161  4.2886
472.5121  2.6077
475.6219  0.1521
479.4707  3.2677
508.4319  0.0028
515.8586  18.2639
515.9148  0.8579
522.6671  0.4437
531.2699  4.2574
551.9153  0.1627
553.828  14.6994
571.3764  3.428
576.6549  0.2105
621.9125  0.0618
625.9547  8.2717
663.2087  1.1418
677.1579  1.1607
677.5014  1.7809
698.7357  0.9465
712.1691  0.5171
713.3342  0.0
728.3852  156.2415
734.8118  0.1935
738.3574  1.1043
754.7113  0.0028
769.994  0.0716
793.7314  1.2878
798.1238  0.1135
801.5803  0.1829
803.3341  18.8803
809.6873  1.7261
814.868  0.0098
832.5342  2.0065
848.7045  0.1195
851.0216  0.0494
857.5951  12.3249
859.5552  9.1515
864.1258  2.3928
874.4571  1.2802
909.7992  0.3936
911.9146  3.8955
914.3335  0.4152
915.9755  0.0531
922.0476  0.0019
931.9974  2.327
934.3069  0.0084
952.7507  0.1149
952.8082  0.1007
988.3164  7.4006
1018.7267  113.9747
1035.0639  2.2601
1037.1716  76.6783
1071.6476  7.9836
1089.3765  12.64
1131.5535  5.2377
1134.6958  1.7388
1148.138  8.1526
1149.6484  8.2539
1156.213  1.4862
1162.1116  93.0039
1169.1428  18.9733
1202.0508  1.3005
1211.1763  0.1523
1216.4765  23.9786
1220.8291  74.7707
1231.7415  0.8423
1244.4675  40.28
1254.9244  8.9643
1258.5823  10.5723
1272.0982  4.9407
1279.9078  835.6565
1320.1036  0.8134
1330.9221  551.665
1351.7891  1401.6031
1370.5139  102.9685
1373.8272  1.9273
1375.7797  753.0656
1377.3763  0.0953
1391.0932  7355.3047
1415.7985  18.587
1419.8734  2175.0086
1421.665  37.679
1431.6406  473.3846
1435.323  10.8421
1464.5506  9.4476
1467.5549  3.0049
1488.7151  68.2977
1512.408  4.1892
1519.1986  239.9857
1545.1904  3.3408
1554.4194  520.1556
1580.98  10.4862
1594.3548  88.7729
1598.2733  69.4593
1603.5081  125.9008
1608.798  442.3383
1612.375  2.6713
1613.2425  66.9246
3085.0583  64.8334
3090.8244  30.0886
3090.8284  5.6027
3094.1418  102.6863
3094.2386  8.5741
3094.6771  0.0818
3095.3436  421.4852
3102.2628  245.7344
3102.272  138.2967
3117.0058  106.1462
3117.0592  711.9087
3124.1509  60.0878
3125.3009  12.3155
3125.3414  272.8111
3127.6384  3.1093
3136.1468  90.7871
3136.1962  541.7832
3148.5228  79.6702
