Frequencies[cm^-1]   RamanActivity[A^4/amu]
38.7615  1.3227
41.8011  3.5841
90.3042  3.083
98.9711  5.3005
114.0032  2.7679
161.4949  2.038
178.1673  2.3126
183.7209  0.6971
204.3322  3.9573
234.6245  3.2043
256.6028  8.3818
277.5712  2.2383
295.9747  15.7725
301.2512  4.6894
325.1341  3.5133
340.4662  25.863
359.9706  30.1674
401.3051  7.5141
416.8041  2.1936
429.2569  6.164
449.0585  11.3116
465.6903  0.4815
488.6921  4.5162
494.7327  16.5993
500.9479  5.2418
512.6942  6.8828
522.9641  1.8243
526.7965  2.126
535.2929  23.9554
558.8811  3.6511
561.5842  1.0149
574.8664  1.1245
591.4696  2.9559
600.7301  2.7595
606.4519  4.1287
632.2418  4.0367
658.2892  46.6167
673.5874  3.1825
688.1115  0.6687
693.5868  2.1704
701.8876  2.6987
737.3412  3.6636
742.4124  14.5785
746.9719  0.8171
751.5587  8.6146
753.2237  1.736
777.5718  3.8257
796.4253  1.1029
801.5063  2.1494
808.3888  17.3021
819.3524  4.796
822.9827  5.4824
836.746  3.3916
856.587  0.8009
861.4323  1.8289
864.7009  3.2602
866.9683  2.1575
880.7564  2.8685
895.945  10.7978
904.3844  1.562
928.9666  2.5698
938.7456  1.2563
938.865  0.6278
945.5299  1.0613
947.5131  18.3262
949.899  6.1925
972.3851  11.3275
992.8749  112.7531
1029.6489  13.1549
1039.9711  71.4603
1048.4412  10.8641
1073.3379  3.9387
1085.7785  15.8972
1107.5306  4.7224
1124.0812  12.3323
1137.0483  17.3407
1147.9002  6.3605
1150.9629  10.2131
1157.4939  10.2233
1168.7864  68.1727
1183.09  59.4055
1197.8029  29.8939
1215.1728  121.5187
1229.2187  25.0943
1233.0974  443.3598
1257.22  95.3095
1261.9872  1.4874
1285.168  43.6352
1296.9002  200.1188
1321.7838  149.7574
1333.3784  35.1383
1346.9903  40.1962
1365.0107  837.4634
1372.0475  682.9817
1380.3493  283.1095
1384.619  29.6383
1397.8643  207.8892
1406.0828  20.8343
1410.2621  229.5917
1416.1904  296.6995
1424.4022  264.3127
1443.8843  341.1223
1450.3042  147.2564
1471.9877  41.2005
1475.6063  96.8522
1490.205  59.9812
1508.2937  67.9033
1542.3863  33.4058
1558.7261  335.2202
1566.8512  665.4823
1574.6546  82.6247
1584.9066  282.0497
1594.3207  107.1002
1600.0331  503.4414
1607.9825  278.371
1617.9295  626.5483
3087.0313  57.647
3088.8276  110.3923
3091.0475  41.2662
3091.5071  41.5076
3095.4128  100.1577
3096.5859  152.7198
3099.1386  186.8642
3102.7624  188.6081
3106.692  380.1433
3112.5346  374.1177
3113.5097  21.6379
3116.5146  630.8788
3118.9605  532.3687
3133.7416  114.82
3135.3344  38.9244
3148.0171  197.8518
