Frequencies[cm^-1]   RamanActivity[A^4/amu]
34.8375  0.658
49.4244  2.2695
93.9771  4.5861
108.3893  0.9913
137.6823  1.9306
196.5543  0.6872
210.4199  0.6139
221.9615  0.5821
241.2754  22.0991
252.5412  3.2311
276.0053  3.2739
310.9462  6.5942
373.1366  1.926
405.4551  11.7898
414.2267  1.5259
433.7326  5.9036
464.2903  3.7621
473.7327  1.4924
490.7761  2.153
498.0634  1.1099
508.5714  1.9818
536.2848  6.0321
549.2581  23.8901
566.2136  4.8375
571.2994  2.877
597.9387  5.2174
600.5872  8.8955
621.8539  1.4694
625.7836  1.9829
667.8375  2.7229
682.9462  9.9818
699.2817  76.0688
708.2492  10.3858
719.9451  0.7876
737.7199  1.8514
741.9403  0.4335
771.2751  3.3006
777.9843  1.0863
795.6547  12.3697
800.4137  1.1989
806.1157  0.7254
832.6098  2.0189
841.9007  0.6601
852.4664  2.8801
859.4509  10.0821
862.9376  0.0529
880.0975  1.8004
894.7096  2.0322
917.6001  1.4328
931.8077  0.4651
942.0395  17.1949
942.2893  4.0288
949.9309  22.2446
955.2051  2.9897
982.0094  75.0731
1027.1905  12.8044
1029.954  2.586
1036.3748  126.0071
1055.4578  13.8835
1081.833  121.035
1101.5568  28.5869
1137.2796  12.4336
1147.6252  8.2772
1155.6213  12.9993
1158.206  15.9938
1169.3049  15.8984
1208.0903  39.9727
1209.7766  8.0291
1223.3145  58.5202
1246.2481  13.0967
1264.678  211.1165
1274.6792  74.6792
1306.4125  207.4589
1317.2907  20.4398
1330.9511  34.2304
1363.1302  1828.4562
1370.5067  383.4046
1376.2297  86.8318
1387.7238  196.323
1416.3319  642.0835
1419.7828  252.6423
1429.9874  336.9398
1441.5486  180.0086
1458.8097  58.8752
1469.8049  20.4717
1487.0245  240.4395
1509.9984  231.6736
1533.2315  105.995
1560.5505  124.3293
1580.2922  312.0895
1596.5086  56.1157
1603.9608  130.6499
1609.7707  114.7228
1616.6921  49.8977
3089.928  41.8039
3091.4792  25.3809
3092.7217  67.7325
3095.4362  108.0753
3096.4665  194.1169
3100.9893  225.8841
3102.7893  165.4578
3116.9368  241.1591
3117.1192  718.6164
3126.0044  120.9696
3137.1823  243.951
3144.494  173.7639
3165.8228  15.8367
3178.1212  145.6474
