Frequencies[cm^-1]   RamanActivity[A^4/amu]
33.5019  1.1909
43.0403  4.3446
53.3679  3.437
80.4913  6.0042
85.0945  10.298
110.6078  4.9301
135.1221  3.9727
161.8485  2.5616
183.0181  6.4078
194.4897  1.9638
226.3138  0.465
230.8218  8.5084
251.7858  11.0705
284.3889  12.7652
292.8615  4.9064
312.4322  6.2625
333.8289  4.7377
350.7338  9.3999
400.1173  1.9
407.0247  2.5053
431.5352  5.0618
438.6209  0.7408
447.9567  5.2432
462.8939  0.7284
498.7237  5.4697
500.6225  7.5978
516.9534  5.7299
518.1551  12.402
528.5941  4.1905
543.0706  0.9408
553.4419  16.5486
559.8723  2.0889
567.0185  7.0191
576.4042  6.4337
609.5935  3.486
627.4481  2.7799
639.1625  0.8631
659.6942  5.9049
660.1791  10.7531
677.9227  0.922
692.5662  11.6736
728.2895  2.4297
729.9975  2.1771
738.4929  3.8336
742.7834  1.746
758.6032  1.2336
775.9249  6.034
779.6315  21.1879
783.6189  12.5155
791.9588  69.9964
795.8792  23.6254
806.7412  2.0484
822.3687  2.8439
832.4422  1.1579
842.1772  12.5199
856.5039  1.7444
860.629  2.2614
867.0564  3.2303
874.4504  13.8465
897.383  1.8364
912.8352  6.7917
923.0799  1.9783
930.5003  0.7945
931.8879  4.5491
934.8772  1.7868
940.2456  1.8854
949.5367  2.4485
953.6676  0.135
969.1516  0.6516
974.6986  6.401
1010.4251  30.3277
1015.7477  79.1842
1023.068  64.9672
1039.004  17.4705
1045.2994  22.4361
1102.4967  28.2902
1118.3101  3.0067
1126.535  0.9642
1140.491  17.0261
1143.9519  10.8476
1147.9531  21.4551
1150.7527  15.4297
1151.696  3.1405
1181.5919  112.0043
1197.749  13.2139
1210.5981  33.4675
1217.4708  32.9655
1224.9025  103.8273
1228.8464  68.5308
1247.5689  10.3696
1260.3948  58.0028
1267.7922  97.6532
1281.7131  42.3252
1316.5025  38.2452
1337.2269  656.5905
1342.1416  171.4896
1355.0961  1746.8758
1362.0779  267.9999
1368.2379  693.731
1381.4189  729.3799
1385.8463  206.4565
1398.216  346.7498
1411.8383  385.9862
1419.7793  132.3334
1424.1258  707.1237
1434.0638  37.1428
1451.7105  323.5439
1462.2759  325.9955
1483.5266  22.0288
1498.7155  154.216
1508.5088  179.2067
1536.1026  122.6708
1552.0206  65.6295
1553.3981  245.5031
1581.1611  242.2596
1591.1848  99.3943
1595.8842  158.7863
1605.6505  124.7977
1606.7228  103.4079
1617.2197  100.4341
3088.9316  4.4811
3090.7897  37.0044
3091.2341  48.1977
3093.3527  88.5794
3095.9486  173.021
3098.6273  112.9903
3102.5851  119.2465
3102.737  258.5377
3107.5643  184.3455
3115.4902  3.3491
3118.0897  344.4026
3118.7755  517.7766
3120.5742  644.7847
3127.4603  48.6812
3130.2253  39.2749
3137.4705  60.1837
3138.7929  177.8678
3141.9458  198.8244
