Frequencies[cm^-1]   RamanActivity[A^4/amu]
36.4088  1.0511
75.5096  0.3744
143.4733  2.8998
168.1839  3.7748
188.5311  0.4975
254.5737  1.9209
288.6091  2.3706
315.4382  2.1631
366.6545  10.3097
401.8244  0.6653
405.352  0.9149
469.1436  9.7558
478.2445  0.2974
497.8168  0.061
524.7394  6.9003
529.2129  8.6987
561.091  0.2036
594.3528  4.5667
622.3495  0.8182
648.517  0.0264
688.3405  24.5715
690.7848  0.1257
721.019  0.8189
727.9018  2.8902
744.2285  0.5082
782.5464  0.1797
784.468  0.9566
801.0878  4.3385
822.8004  0.0884
835.9672  54.9036
850.4773  0.3828
890.1323  0.0705
909.7091  0.7523
923.9356  0.5943
930.3175  0.7954
936.207  3.6454
946.2393  0.1168
950.5472  0.3067
980.1818  0.6173
1023.2426  7.3743
1039.6346  85.3645
1092.1728  26.9158
1108.8404  4.7294
1113.1531  3.3078
1135.0853  18.519
1143.1991  12.6262
1144.5713  25.2619
1152.4749  10.8418
1185.4266  32.1901
1204.188  124.375
1212.3802  25.0813
1235.5454  116.6763
1257.3706  17.4724
1294.4823  101.9874
1348.0929  17.4998
1358.4255  172.8512
1367.4548  274.8555
1380.959  73.3631
1393.4156  19.2012
1426.2388  33.4262
1441.3271  108.1829
1454.2138  119.5508
1461.8325  28.4956
1517.7913  97.9375
1558.0578  162.4032
1573.898  28.7816
1585.5075  173.3306
1601.6829  317.355
1615.0157  7.0485
2954.6037  297.5909
2979.4316  118.6078
3088.8222  29.9986
3090.4298  70.5325
3090.6951  99.8562
3101.5241  109.8666
3102.2337  174.4323
3107.3464  237.3709
3117.7105  76.0179
3118.4603  645.2374
3138.9829  31.1666
3162.1899  104.3976
