Frequencies[cm^-1]   RamanActivity[A^4/amu]
24.6258  3.9334
41.4804  1.9755
60.3333  3.8051
66.9114  1.0693
78.9269  1.604
89.0214  4.0554
109.0167  10.6986
124.919  15.3903
147.3154  5.7937
153.3396  4.2914
169.9521  9.2973
189.1093  1.4192
229.1868  8.3876
249.7324  22.0818
257.999  10.1293
278.8809  12.838
284.8679  9.0162
292.6245  4.4506
305.069  6.633
317.8048  47.8533
330.4438  10.9668
343.393  3.5648
362.3245  71.5478
373.7111  31.4418
420.1479  7.13
433.0501  6.4045
442.1603  3.1285
447.3276  2.1035
473.1231  9.8945
494.1594  31.8242
504.5587  2.5458
509.1969  1.0841
515.9543  1.7196
524.7613  6.6201
541.7831  6.5737
555.3395  4.4918
561.7242  4.488
568.4759  5.9995
574.2473  2.1291
587.3957  5.8624
603.6419  1.7002
609.1995  7.0196
614.8449  5.107
622.0057  6.3237
638.3428  11.6541
652.3196  5.789
656.2373  13.2089
700.9367  13.5608
708.4206  11.0326
710.4791  33.8534
730.584  1.0353
734.4183  5.4675
738.8421  9.5943
740.4937  6.7796
744.5786  5.3785
756.5494  11.0482
759.5968  29.7879
766.0745  3.253
794.5421  1.8867
803.0137  79.7893
816.0999  2.5237
825.483  3.0198
833.6292  1.5029
837.5782  3.4544
843.568  1.0907
848.5554  3.1841
857.5892  61.2189
865.7355  6.3642
869.2317  112.7739
875.6222  1.6594
888.4816  15.1398
896.6823  20.3097
899.1313  78.1818
910.3934  21.7552
919.8605  0.5125
929.9988  0.6884
939.3375  1.7185
940.5772  8.2976
941.9697  6.9725
948.8466  0.565
951.6895  0.2545
966.8943  7.3827
976.544  2.3932
993.1711  2.3512
1029.6862  18.3304
1031.6772  50.9543
1038.6894  99.9942
1045.5609  110.9456
1063.5782  7.5357
1097.6537  80.4505
1108.8328  80.4254
1120.1424  65.2251
1128.6938  1.8491
1139.8273  12.9247
1145.7471  15.9304
1149.0855  37.7364
1150.0223  171.5414
1155.5702  110.9354
1179.2072  65.0557
1185.4384  679.6275
1191.8287  179.0076
1214.4307  457.388
1221.6202  86.4134
1228.5818  38.2602
1231.9457  88.0767
1245.1448  274.9326
1249.2049  22.6503
1279.7628  24.6984
1300.4209  462.6858
1315.1025  155.6631
1318.6396  124.9616
1323.965  41.8035
1335.3435  2001.1557
1350.2717  189.3271
1361.3479  508.2403
1366.0092  96.4287
1368.5516  777.1115
1371.8661  411.6969
1380.557  694.8848
1384.5085  60.1809
1404.1801  744.7998
1411.2279  573.2491
1419.8977  45.5082
1428.6971  122.811
1438.6835  184.7769
1447.7571  548.9284
1460.3004  58.4372
1479.2302  123.5984
1483.7941  56.9161
1495.274  183.3052
1509.4321  169.3719
1529.2765  1252.9243
1548.4166  4938.3574
1552.5991  67.7957
1565.1074  790.8738
1571.0574  919.5889
1582.3727  2862.1647
1593.4504  244.9764
1598.0425  8.9433
1601.7385  543.8796
1605.7896  702.1152
1611.8302  58.6572
3090.7741  45.8747
3090.8469  51.1902
3091.1285  22.5724
3091.475  36.4343
3099.2068  12.4449
3102.0213  126.8863
3102.882  175.8911
3103.0152  19.9204
3103.6105  263.2584
3108.092  60.0706
3110.3213  64.5277
3117.1954  277.6651
3118.0519  310.0273
3118.7473  213.5503
3119.5327  900.3318
3119.9967  100.3414
3127.2767  514.4134
3135.8433  39.6475
3137.8728  137.5553
3150.0372  167.4311
