Frequencies[cm^-1]   RamanActivity[A^4/amu]
35.8558  0.3901
58.7096  0.1214
92.5623  1.4208
107.4715  2.3419
123.8105  0.4551
161.3266  1.7639
203.1452  0.7514
224.5981  8.6551
226.5369  0.6937
267.4573  4.2605
276.1815  9.6286
331.7623  3.1613
337.109  0.2366
393.9505  0.0197
403.9295  26.5936
424.7443  0.764
459.4828  1.052
473.3258  2.2454
489.868  0.244
490.9302  0.7033
513.238  0.6778
534.7488  39.9076
546.7853  0.5667
551.1033  4.8903
589.9972  11.6171
594.5467  0.2563
613.1182  0.2778
617.9615  0.4023
626.4641  7.4819
665.5646  44.6234
689.0583  0.1237
722.7986  0.9047
736.6842  0.6693
737.2779  0.2524
743.407  0.4869
747.5622  0.7311
750.0329  2.409
780.182  0.673
804.0747  0.3854
808.4693  1.097
811.8848  81.3625
840.7189  0.8879
843.7221  0.1222
857.8105  30.023
865.6069  0.0212
875.9647  19.527
880.1062  2.7476
913.906  0.5491
920.558  0.1423
926.0571  0.0095
933.1944  0.6855
949.913  0.149
951.7884  192.1756
952.5051  0.1932
990.5824  16.8382
1026.0452  27.6303
1034.8237  42.909
1054.1008  45.7505
1064.0013  7.5122
1109.4052  9.5854
1130.8894  32.4148
1134.6794  15.2286
1144.3658  6.1137
1149.2143  26.0924
1165.5751  40.5302
1176.7243  65.2868
1189.8101  381.2939
1208.5828  282.8149
1214.4347  10.6094
1238.0198  133.0636
1257.916  14.3447
1276.3421  167.3701
1309.8732  136.7203
1323.2231  985.6485
1350.1674  167.4674
1357.1728  317.6513
1366.1636  277.164
1381.909  159.6594
1393.3793  25.5649
1419.5522  29.4639
1431.6842  28.1404
1436.6762  13.3656
1448.3882  168.3869
1457.852  648.579
1470.6591  67.6544
1518.4874  29.3151
1526.6045  293.8841
1549.4139  50.0751
1578.6911  188.499
1587.5431  139.5016
1592.0178  324.6032
1604.8755  336.7605
1609.7081  1167.0584
1617.9696  740.7915
3087.6416  26.3988
3089.8906  32.7621
3091.1592  88.2587
3092.7061  71.1589
3098.4638  145.8091
3101.3737  86.1143
3102.5259  163.045
3110.1759  182.7876
3112.384  125.3624
3117.9761  448.3293
3118.8374  207.2585
3123.8643  565.6451
3129.6778  92.2685
3149.5682  110.0024
