Frequencies[cm^-1]   RamanActivity[A^4/amu]
23.8194  1.6362
33.8021  3.2585
60.7546  4.3468
69.8173  4.8323
89.2561  1.8408
107.1388  1.8494
129.6532  2.252
158.7166  6.4808
180.6591  1.3651
192.0285  2.1565
217.5041  21.377
239.929  7.1169
254.1946  1.4847
260.5014  3.9149
282.1051  2.5378
334.9424  6.3594
352.5053  0.6575
389.0323  5.6647
398.9653  10.7064
421.2343  1.0909
428.3168  3.2002
437.4561  4.6559
463.9608  1.6776
471.932  0.6864
484.7112  1.6338
499.6284  3.6163
504.9768  2.4194
509.4626  3.6126
522.5941  2.3083
529.5579  2.1423
541.4371  3.0333
554.3186  1.7506
560.1633  1.7662
581.9086  14.1213
596.8678  4.6662
605.8809  11.4724
614.4657  3.2736
644.607  7.3084
663.7893  0.3282
681.5767  52.7935
704.5666  7.5777
709.6833  10.7344
729.3306  4.4897
733.6803  1.1921
741.0616  5.0621
754.9804  1.6037
762.8866  2.2878
780.3911  0.4606
786.6933  1.5989
792.6364  0.2884
805.7396  7.2755
814.6136  18.4513
820.2908  0.9024
828.2577  2.754
831.3712  1.2978
848.8395  4.7634
850.9274  1.5718
860.3593  2.7377
861.1662  2.7864
877.4009  5.6899
903.4967  2.8994
914.185  6.8396
919.7239  0.2262
926.4621  2.6046
928.0605  1.0913
934.5588  0.9057
940.2524  1.5741
949.2927  2.4895
952.6001  0.1097
976.2385  8.8791
995.9688  10.4117
1021.8017  35.8139
1035.0524  44.5834
1043.8532  46.986
1065.583  0.9241
1118.5967  0.7752
1130.3376  2.4527
1139.9718  4.756
1141.9567  7.1993
1146.1459  2.8061
1149.7335  8.0401
1154.5071  6.8452
1180.1118  242.2745
1197.3426  33.8511
1206.2292  13.4671
1216.1683  46.5523
1218.5836  84.8635
1225.4397  19.8023
1232.0664  57.9143
1237.4658  9.2677
1252.0954  5.8515
1264.2187  5.6726
1286.7917  74.0969
1315.8476  462.7754
1331.0752  477.9457
1346.654  227.131
1362.1858  1848.7953
1366.4264  38.0627
1374.4391  636.2965
1380.157  4962.1517
1386.5048  564.6749
1399.3798  186.9158
1411.6905  39.0201
1420.1068  805.8985
1429.9106  601.9325
1435.413  19.8938
1465.6056  37.8461
1484.6679  143.7176
1491.7705  126.1383
1510.1046  142.704
1519.0253  55.4769
1527.0774  16.6254
1557.5731  273.3628
1570.3105  61.3402
1589.1285  166.2535
1595.4481  197.3261
1601.827  309.7297
1603.4218  49.1041
1610.7044  108.6147
1614.4755  65.2883
3089.0951  25.6716
3090.6398  20.4227
3091.0891  108.3152
3093.9221  154.1572
3095.3437  149.4114
3101.8176  194.4221
3102.6382  166.7666
3107.9298  398.5526
3113.3197  112.103
3118.0318  200.2641
3118.2334  344.4609
3119.388  219.6455
3126.2928  202.6502
3132.0972  68.6161
3132.4999  74.0216
3137.4059  33.7329
3139.7818  279.2204
3147.4843  215.2444
