Frequencies[cm^-1]   RamanActivity[A^4/amu]
41.336  0.0341
67.8846  0.0244
101.2869  0.0103
110.2949  6.0E-4
137.1609  0.2733
190.1848  3.7015
210.0205  0.6612
259.0155  2.1015
261.5179  4.2796
291.8854  5.4989
295.2052  0.6117
307.2133  67.6212
317.4015  1.0639
326.9846  0.0302
328.3862  0.5749
336.1075  26.5085
406.1497  0.0705
408.2933  40.1199
423.251  58.8478
439.8658  12.5938
469.1147  0.0449
483.5182  2.6914
502.0454  0.0215
509.7057  3.9348
514.8652  1.46
522.2034  0.3381
527.6128  0.5484
529.4677  0.0017
540.087  0.0465
582.869  0.0331
608.0699  1.9449
608.3252  5.3864
615.941  1.5838
620.4449  0.0018
626.3169  0.1222
650.3754  3.282
652.406  1.8432
695.2214  0.0
696.4051  1.9616
697.8836  1.5165
736.4675  0.3913
747.2032  0.1485
750.9387  0.3257
752.243  0.2853
774.4027  0.6386
777.1731  0.5502
793.8632  0.4509
796.6316  1.9265
815.1536  4.2806
820.9832  0.1366
828.6791  0.4377
846.6544  0.2157
856.3221  1.1778
873.4415  1.4681
880.3453  0.2621
885.3146  6.0591
889.1741  2.373
893.8207  18.0038
911.2372  18.3279
920.5435  0.4372
937.0642  0.7284
938.6869  0.0999
942.094  0.9729
942.8738  0.3771
955.1177  49.5088
1002.7507  22.6763
1042.6069  45.8952
1066.7052  8.0944
1086.1037  72.2443
1108.6281  14.5639
1116.3654  13.049
1128.8512  56.9013
1143.0222  14.6115
1144.1551  3.7114
1166.8885  31.9041
1167.2184  130.2843
1180.3683  20.3992
1194.9419  68.9207
1209.3033  124.9961
1217.0025  20.6904
1254.1411  333.3208
1263.4432  172.719
1264.5005  0.016
1298.261  3.2466
1299.1901  4.6496
1334.8229  18.1514
1335.3672  319.3454
1355.5203  257.5175
1363.752  1031.9811
1373.3715  0.8589
1378.895  241.4757
1391.3496  142.3339
1400.6904  42.2098
1401.4721  11.5023
1409.4059  6.9289
1416.8473  1.1275
1425.7275  75.6137
1450.4291  53.341
1452.1138  105.0113
1468.9892  22.0518
1485.3057  245.6337
1500.2369  29.1252
1506.8795  1.7871
1525.0441  6.4104
1566.2697  494.3535
1566.682  1.9401
1571.0977  1251.9058
1577.6301  0.0448
1595.721  367.4581
1603.3106  312.6235
1607.0514  366.3543
1617.405  119.8565
3087.7142  0.1595
3087.9989  115.0766
3088.921  6.6942
3089.5088  227.1232
3090.1021  139.2021
3095.1116  33.0438
3095.666  188.8359
3105.6941  189.5896
3107.0391  237.8835
3107.7386  827.4115
3109.0981  167.4369
3112.0454  608.4859
3123.198  101.1918
3131.2125  410.1382
