Frequencies[cm^-1]   RamanActivity[A^4/amu]
82.5208  0.0338
152.4908  0.3596
194.452  0.2302
226.4742  0.2168
365.6087  0.4936
402.5288  5.7396
419.163  0.4789
459.3771  12.4678
461.8324  0.0762
465.6304  3.7817
488.9272  2.6076
559.8227  1.3249
562.2591  1.7453
599.5726  53.7463
629.3594  0.9926
711.7708  0.7607
735.5118  0.468
756.4747  1.3383
768.5154  0.7471
793.6749  0.6236
802.1404  0.504
820.7989  1.5448
865.4286  0.4056
881.4834  1.1756
924.6125  2.3923
939.1167  1.804
939.8266  0.0417
945.1179  0.3868
957.9498  2.6128
1025.8869  10.3984
1043.3703  24.3818
1075.8172  9.0746
1095.0019  4.8551
1146.4169  5.0552
1156.9758  2.9608
1166.4505  13.2485
1174.785  3.0014
1198.5068  3.4233
1229.6185  11.4865
1232.4476  34.4737
1307.4854  5.1007
1359.0566  33.6159
1370.6126  19.8824
1385.9848  25.4181
1388.7837  43.2175
1399.2664  60.8892
1425.2235  56.6419
1455.7459  22.8827
1504.9525  95.8956
1579.7451  176.8069
1585.8682  3.288
1600.599  11.9515
1654.2135  191.034
2917.9654  337.687
2926.3134  143.0614
3080.0866  65.6855
3083.2597  80.2002
3089.1279  56.3217
3094.3899  43.3276
3097.0293  172.1456
3101.5991  251.1647
3113.7107  154.4276
3115.305  475.4277
