Frequencies[cm^-1]   RamanActivity[A^4/amu]
63.3981  0.5858
73.0271  0.312
105.4503  0.3
148.9273  0.4042
183.3679  3.6973
223.4663  3.5415
240.4326  1.4905
292.263  2.3684
320.9681  0.8737
324.977  0.3473
359.7954  25.5373
364.0261  13.8469
436.3524  48.721
437.6304  0.0308
479.756  1.1623
483.9021  12.5821
509.6847  0.2206
545.9827  0.2627
566.1133  2.594
572.6215  24.6206
600.0239  0.8577
611.8857  0.6265
612.2437  7.6404
662.7015  15.8242
676.8853  0.1073
725.9554  0.3935
733.0159  0.2855
733.2259  34.5288
740.1582  0.1517
759.0632  2.1637
766.9844  29.0102
799.8011  2.1001
812.319  20.5636
819.2797  0.9365
836.528  0.248
840.4527  17.1965
872.976  0.9152
880.2738  5.6434
881.8573  0.3933
908.465  1.1743
920.4962  0.2397
920.7415  49.6336
923.0517  6.0812
941.8685  1.0905
951.8362  0.2531
1000.0269  144.7861
1034.3905  50.4096
1059.2477  23.774
1066.7505  43.2218
1076.8161  23.8304
1099.0435  102.4424
1131.4181  0.5596
1150.1903  21.2199
1157.0783  42.1022
1182.3618  20.9367
1201.258  155.6324
1211.2572  9.4728
1243.4228  11.8099
1262.743  343.2751
1273.9353  84.2869
1301.492  19.1615
1337.1067  243.7518
1356.1621  7.9177
1362.0189  1359.0384
1369.2477  94.8689
1379.2468  173.4358
1400.1619  9.0547
1425.6641  138.9153
1447.857  402.8856
1453.6965  908.6822
1477.6009  101.7556
1515.1854  149.0707
1547.7416  163.7557
1559.9925  386.3325
1576.7372  741.4542
1583.9638  381.9187
1604.0687  381.3704
1630.6632  189.713
3081.7946  115.2386
3091.3256  11.3846
3093.6695  53.4079
3095.405  101.2549
3103.313  153.6991
3111.7075  100.2004
3116.9494  354.8138
3125.0815  165.72
3130.5387  96.6378
3132.9399  361.7662
3143.9928  188.8087
3162.9034  418.1162
