Frequencies[cm^-1]   RamanActivity[A^4/amu]
396.2523  0.0
396.3267  0.0
600.7502  3.3392
600.7629  3.3393
663.0727  0.0
705.5965  0.0
833.9773  0.6987
834.0927  0.6983
945.0115  0.0
945.0761  0.0
979.2908  0.0
995.0003  0.0
996.0901  64.0173
1036.3558  0.0
1036.4415  0.0
1140.1082  0.0
1163.255  7.3044
1163.2872  7.3041
1334.7008  0.0
1343.5753  0.0
1468.7949  0.0
1468.8712  0.0
1593.9127  8.6227
1594.0028  8.628
3088.4764  0.0
3098.3722  144.9874
3098.3954  144.9987
3113.931  0.0
3113.9552  0.0
3123.9237  450.2476
