Frequencies[cm^-1]   RamanActivity[A^4/amu]
30.1207  0.2262
32.6102  1.1292
63.1213  6.4315
80.7487  6.5456
90.414  2.3341
108.1121  2.4409
141.1671  6.1282
150.1952  2.4752
190.9509  0.9599
206.9846  7.9407
232.9603  2.3871
245.2562  14.5375
253.334  2.2333
260.749  4.591
297.6764  2.3819
336.36  2.0184
344.6619  0.0907
391.3008  5.8473
411.1145  7.4129
422.8532  8.2752
424.9784  4.0337
426.6295  2.4376
459.1132  6.0973
480.4343  0.4164
493.9379  0.1074
496.0636  2.1924
501.3098  0.4843
513.2359  6.4971
524.957  0.7198
529.5961  0.1651
541.1195  5.4233
560.5182  6.3779
567.0205  1.8255
573.9058  26.0438
602.3602  0.2272
612.8996  6.3703
639.5702  30.9685
641.752  1.4542
662.9839  0.4068
684.4203  19.8382
707.0244  2.147
719.6235  3.5372
731.502  2.711
732.4033  1.1018
743.3738  2.6307
748.1825  25.417
773.8048  1.552
774.3612  0.0986
779.5991  0.5064
789.1286  0.3753
799.8529  4.7512
815.0546  2.1479
818.8159  1.4545
823.3678  5.1997
825.0997  0.39
845.2987  1.5462
859.6399  1.3632
863.8696  1.0235
867.6769  0.0608
876.9534  20.0066
907.9312  1.7104
927.3412  0.688
928.3658  0.6461
935.0427  4.6876
939.2672  0.3224
943.0306  0.27
951.4861  1.6397
963.5426  3.3247
985.9582  5.6615
989.7358  6.3689
994.6343  0.5147
1000.4207  13.887
1038.0214  93.4352
1045.6094  6.9717
1063.1933  2.3883
1119.543  0.707
1120.8928  1.3879
1141.0  5.5683
1141.8169  0.7063
1144.7212  0.4775
1147.8143  7.2208
1149.5054  3.586
1166.5733  158.5959
1197.3516  22.9971
1201.8482  2.416
1214.7183  6.3049
1215.5038  58.9028
1221.1553  150.4735
1226.8068  8.7722
1233.0399  1.0905
1235.8389  45.6771
1265.3065  11.5842
1283.5996  4.7598
1316.0901  731.3543
1330.9744  195.9874
1345.4097  52.3153
1354.9485  3503.7747
1365.1582  77.9186
1369.3798  260.8974
1375.8289  1597.8361
1386.1522  618.6838
1393.6104  119.7886
1411.2299  138.5389
1411.4239  4.1862
1428.6568  356.5169
1430.3294  18.5632
1466.9966  12.6332
1478.0437  326.3737
1495.5503  0.357
1498.6726  327.5457
1511.413  81.2151
1527.5887  8.4904
1551.0838  57.1761
1569.0783  355.8243
1589.2678  240.6182
1591.4862  53.8097
1601.5419  24.0896
1602.1154  475.2862
1613.7706  13.6865
1614.6545  91.0663
3088.9078  33.6882
3088.9522  18.9893
3090.9851  18.8349
3091.0051  193.6594
3094.4506  132.7068
3095.7487  182.4725
3102.4202  84.7965
3102.506  217.0562
3107.7138  166.3639
3107.8155  650.7857
3118.1327  186.2418
3118.7576  648.0062
3122.1796  1.4304
3128.0915  0.2286
3133.0934  65.0937
3141.0858  19.2672
3142.0777  224.1541
3145.5894  271.6679
