Frequencies[cm^-1]   RamanActivity[A^4/amu]
31.0737  2.4337
41.6775  3.8083
45.6409  2.9938
53.9639  1.4256
93.3276  5.6728
116.6107  5.2484
143.3062  7.2243
144.9751  4.3239
154.5256  0.6186
166.5646  3.0025
182.8919  0.7226
223.4824  1.5207
227.1711  0.7119
234.6573  0.043
246.3494  2.2893
248.3293  7.849
255.8892  4.9194
266.7089  3.698
289.9586  3.8805
374.6244  6.4478
377.8536  0.318
427.6519  0.7909
430.8298  1.3371
446.2808  3.6449
448.0871  2.8942
451.038  1.8492
451.6013  1.5496
463.9371  2.0162
468.0344  0.5696
476.582  10.0968
497.306  0.9055
515.9597  19.2498
516.4454  18.5694
543.3959  11.3186
543.6929  8.7539
561.057  185.7929
582.8782  3.7865
583.1519  3.5821
600.6959  0.0727
603.0626  1.4815
611.8885  0.8125
628.0748  0.2511
629.4478  1.6965
633.2913  0.3979
658.5737  0.001
672.5822  0.2275
673.0026  0.8871
697.1876  0.3568
699.2965  4.6317
734.1411  1.2107
748.0494  0.1639
752.6954  0.1554
758.8735  0.5079
764.5691  0.0453
768.1557  8.8056
768.7519  1.4139
792.2574  16.9028
792.4179  17.8807
794.776  137.2156
808.31  4.1522
809.629  16.8581
812.7859  17.975
818.3708  2.8095
822.4039  3.4613
823.6083  2.3205
850.621  109.8218
879.1578  0.8823
880.6653  1.9103
888.404  0.0258
894.8303  3.3295
900.3221  5.288
902.3598  4.3232
941.1342  0.9727
941.9772  0.5766
943.7077  0.0165
945.7564  7.818
947.3797  0.6046
950.7224  10.8463
951.8913  5.747
985.8319  86.7519
986.0571  94.4666
1027.5893  5.2981
1031.5985  80.6127
1031.9555  85.9313
1052.9373  57.5872
1054.3189  1.7177
1055.913  532.8577
1080.3665  81.6443
1080.8337  85.8138
1082.4861  842.7163
1136.426  2.0953
1148.4486  56.5517
1148.9999  58.506
1164.9334  0.7689
1167.583  13.9019
1168.0679  2.7185
1169.3447  113.2243
1204.2665  108.2692
1204.6258  97.7789
1218.9951  1.262
1219.0235  2.0697
1222.3224  1.9657
1229.8662  103.1734
1230.1135  97.3843
1243.4294  997.9015
1274.2108  3.015
1288.4285  569.9617
1288.5082  588.8009
1342.9723  47.9534
1357.9438  25.6464
1358.9817  27.0637
1376.3436  20.1308
1376.775  17.503
1383.9045  1.8756
1409.5279  3.2074
1414.8485  94.5462
1416.2797  9.1814
1416.5155  5.9091
1434.3393  352.6006
1434.4099  368.7999
1444.7707  2.6242
1445.3347  0.6222
1451.1481  0.7382
1462.9812  3745.9069
1483.1412  3.3593
1484.092  3.2763
1484.2803  1.236
1561.4555  138.7652
1561.6739  156.7969
1577.9479  2980.8038
1582.8296  955.8624
1582.8434  939.5906
1594.1859  222.6546
1594.333  248.8814
1597.1946  82.7275
1606.3334  14.463
1606.95  13.2556
1607.0477  14.2871
3095.0715  12.7571
3095.1856  24.233
3095.4741  1.8466
3095.6601  244.9147
3095.7316  141.9756
3096.0083  98.5664
3111.7747  49.9485
3112.0517  449.7204
3112.1124  414.119
3112.7236  23.955
3112.7347  74.4392
3113.2408  1805.3935
3143.0795  27.2208
3143.1822  34.4926
3144.8178  17.1999
3155.5359  73.444
3157.9571  47.3021
3158.0132  85.1423
